,name,player_id,age,season,team,MP,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,FG%,Avg_shot_dist,%_2point_attempts,%_FGA_0-3_dist,%_FGA_3-10_dist,%_FGA_10-16_dist,%_FGA_16-3pt_dist,%_3point_attempts,%FG_2point,%_FG_0-3_dist,%_FG_3-10_dist,%_FG_10-16_dist,%_FG_10-16_dist.1,3pt%,assisted_2pters,FG%_dunk_attempts,made_dunks,assisted_3pt%,%_corner_3pters,%_corner_3_made,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,predator_offense,predator_defense,predator_total,pace_impact,cluster
294,Meyers Leonard,leoname01,27,2020,MIA,987,0.11699999999999999,3.2,23.9,14.0,7.7,0.6,1.5,13.0,12.0,1.1,1.1,2.2,0.10800000000000001,0.52,16.0,0.466,0.242,0.14800000000000002,0.057999999999999996,0.018000000000000002,0.534,0.625,0.815,0.515,0.154,0.5,0.429,0.831,0.166,29,0.941,0.16,0.368,-1.9554459979180632,-0.0842963118521565,-2.03974230977022,1.5208113534647467,1.577294528350461,3.0981058818152087,-1.388452638967203,0.2204746414183433,-1.1679779975488591,0.7926194132193175,0.7926194132193175,-1.6739976620548191,-0.5896049846367509,-2.2636026466915697,-0.5167786858369242,1
295,Caris LeVert,leverca01,25,2020,BRK,763,0.253,3.5,10.0,6.8,21.2,1.6,0.5,14.6,27.9,-0.7,0.8,0.1,0.006999999999999999,0.396,12.2,0.711,0.253,0.251,0.155,0.052000000000000005,0.289,0.40700000000000003,0.514,0.3,0.397,0.435,0.37,0.315,0.025,11,0.5529999999999999,0.11800000000000001,0.267,-0.7098567719772007,0.28626563619529305,-0.4235911357819077,-0.8346913352468216,-1.451237026555347,-2.285928361802168,-0.7278460004469387,-0.0799577962348221,-0.8078037966817608,0.8288127391317569,0.8288127391317569,-0.7983681338385425,-0.2035149562673601,-1.001883090105903,0.5416339180407266,2
296,Damian Lillard,lillada01,29,2020,POR,1996,0.376,1.5,10.5,6.0,35.2,1.2,0.8,11.0,30.6,8.7,0.6,9.3,0.223,0.46,16.5,0.511,0.302,0.07400000000000001,0.064,0.07,0.489,0.524,0.613,0.28,0.423,0.494,0.39299999999999996,0.08800000000000001,0.015,14,0.27399999999999997,0.033,0.389,8.871797262720262,-2.7329844164923167,6.138812846227945,5.099375360940957,0.4606351944293673,5.560010555370325,8.577221110326951,-2.200459899458336,6.376761210868617,9.401858744540446,9.401858744540446,8.863530008343506,-2.134268211784234,6.729261796559273,1.180434426852356,6
297,Nassir Little,littlna01,19,2020,POR,496,0.305,6.1,14.3,10.2,4.8,1.0,2.4,9.4,13.7,0.3,0.3,0.6,0.053,0.434,11.7,0.603,0.397,0.154,0.037000000000000005,0.015,0.397,0.5489999999999999,0.648,0.429,0.2,0.0,0.259,0.711,0.132,15,1.0,0.426,0.174,-1.6005139287820058,-1.07606611462636,-2.6765800434083657,1.260278378119179,-2.202027036327361,-0.941748658208182,-1.1094703176888678,-1.3228439455240455,-2.432314263212914,0.08287229870179401,0.08287229870179401,-0.8265614728253687,-2.186414506097646,-3.012975978923015,-0.3391610349982964,3
298,Brook Lopez,lopezbr01,31,2020,MIL,1391,0.183,2.4,13.3,8.2,8.0,1.2,8.4,9.0,16.7,0.7,3.3,4.0,0.138,0.428,16.1,0.491,0.218,0.17800000000000002,0.083,0.012,0.509,0.568,0.7040000000000001,0.42,0.512,0.667,0.294,0.667,0.067,30,1.0,0.159,0.325,-2.5054392777603502,4.922589044424416,2.417149766664065,1.597620630742547,1.629278351185721,3.2268989819282683,-1.8437703627159927,4.352749393257556,2.508979030541563,3.8768140721880986,3.8768140721880986,-1.4281921957364208,4.235766653040171,2.807574457303751,0.2750117634561081,1
299,Robin Lopez,lopezro01,31,2020,MIL,684,0.19899999999999998,6.9,11.2,9.2,6.4,0.5,4.3,14.9,16.6,0.2,1.2,1.4,0.095,0.502,11.7,0.6609999999999999,0.253,0.35600000000000004,0.043,0.009000000000000001,0.33899999999999997,0.61,0.695,0.53,0.7,1.0,0.29100000000000004,0.585,0.039,8,1.0,0.48100000000000004,0.342,-2.7006183812632614,0.3853898713169284,-2.315228509946334,-2.37624791107507,-0.5409979098257207,-2.91724582090079,-2.8530546638737966,0.036095386740423,-2.816959277133373,-0.0243681194571528,-0.0243681194571528,-3.625607203076693,-0.5296376154187097,-4.155244818495404,-0.5268121912769121,3
300,Kevin Love,loveke01,31,2020,CLE,1439,0.28300000000000003,3.0,31.7,17.2,15.0,0.9,0.9,14.5,23.4,2.1,0.9,3.0,0.1,0.456,18.1,0.47700000000000004,0.132,0.122,0.11699999999999999,0.107,0.523,0.5379999999999999,0.675,0.365,0.606,0.49200000000000005,0.381,0.5710000000000001,0.008,3,0.9259999999999999,0.138,0.47700000000000004,0.8791535817715581,-1.092248476167018,-0.2130948943954598,-0.0537248570481738,-4.215983597535382,-4.269708454583555,0.7841284355744014,-1.7256170041415158,-0.9414885685671148,1.3645087273223508,1.3645087273223508,1.6769392721773908,-1.930787700736788,-0.25384842855939604,1.244222791361434,4
301,Kyle Lowry,lowryky01,33,2020,TOR,1569,0.395,1.8,11.7,6.8,30.6,1.6,1.1,14.8,23.0,3.4,2.1,5.6,0.17,0.42,18.1,0.431,0.21100000000000002,0.098,0.049,0.07400000000000001,0.569,0.504,0.649,0.32299999999999995,0.452,0.36200000000000004,0.35700000000000004,0.239,0.0,0,0.5429999999999999,0.086,0.32299999999999995,3.910372548126388,0.850175672923979,4.760548221050367,-1.993001652128193,0.2126699596098146,-1.7803316925183792,2.887847857426532,0.7237819700763494,3.611629827502882,5.2653035001246336,5.2653035001246336,3.083194301012649,1.067125786522822,4.150320087535471,1.224405311685916,6
302,Timothe Luwawu-Cabarrot,luwawti01,24,2020,BRK,423,0.33899999999999997,3.0,11.1,7.2,4.6,1.5,0.6,14.0,14.8,0.1,0.5,0.6,0.066,0.426,14.5,0.473,0.349,0.09300000000000001,0.016,0.016,0.527,0.44299999999999995,0.489,0.33299999999999996,0.5,0.0,0.41200000000000003,0.63,0.0,0,1.0,0.441,0.433,-0.4897007234156865,0.9418021429373092,0.4521014195216225,-6.77149545364704,3.1179159677135466,-3.6535794859334936,-1.816680856092883,1.4334934433191953,-0.3831874127736881,0.5625245579424722,0.5625245579424722,-1.4649795725110668,0.3554600777232637,-1.109519494787803,0.6258931115737212,1
303,Trey Lyles,lylestr01,24,2020,SAS,993,0.124,6.8,25.9,16.4,7.3,0.9,1.9,10.5,13.3,0.7,0.8,1.5,0.073,0.44,15.4,0.507,0.272,0.09699999999999999,0.078,0.06,0.493,0.515,0.6579999999999999,0.231,0.524,0.313,0.364,0.7709999999999999,0.067,16,1.0,0.28,0.43200000000000005,-1.52744931297183,-1.099767134596662,-2.627216447568492,2.849473904010819,-0.5721343094320372,2.2773395945787818,-0.7035423012218912,-1.029079422914634,-1.7326217241365247,0.5304510408637566,0.5304510408637566,-0.5375725781089516,-1.254135964940911,-1.791708543049863,-0.0066958727125155,1
