,name,player_id,age,season,team,MP,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,FG%,Avg_shot_dist,%_2point_attempts,%_FGA_0-3_dist,%_FGA_3-10_dist,%_FGA_10-16_dist,%_FGA_16-3pt_dist,%_3point_attempts,%FG_2point,%_FG_0-3_dist,%_FG_3-10_dist,%_FG_10-16_dist,%_FG_10-16_dist.1,3pt%,assisted_2pters,FG%_dunk_attempts,made_dunks,assisted_3pt%,%_corner_3pters,%_corner_3_made,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,predator_offense,predator_defense,predator_total,pace_impact
11,Trevor Ariza,arizatr01,34,2020,SAC,1138,0.171,2.7,16.6,9.5,8.1,2.3,0.9,12.3,11.4,0.9,1.1,2.0,0.083,.388,19.4,.261,.188,.042,.012,.018,.739,.488,.677,.000,.000,.000,.352,.571,.036,6,.977,.369,.333,-2.115043318937836,0.3803532977101662,-1.7346900212276688,-5.229954998003164,4.352697185402326,-0.8772578126008366,-2.8733690030230985,1.245875150088652,-1.6274938529344467,0.4517973781955247,0.4517973781955247,-2.8243802499733635,1.082354828739861,-1.742025421233502,-0.2725997149812273
12,Trevor Ariza,arizatr01,34,2020,POR,791,0.16399999999999998,2.9,18.4,10.4,8.5,2.2,0.8,13.7,11.3,0.3,0.8,1.1,0.069,.388,19.4,.261,.188,.042,.012,.018,.739,.488,.677,.000,.000,.000,.352,.571,.036,6,.977,.369,.333,-0.6064073675213902,2.606224985987486,1.999817618466095,4.033675813845399,-2.632683893256725,1.400991920588674,0.3149690212936966,1.7067024955341217,2.021671516827819,0.932751563492072,0.932751563492072,0.078912898401988,1.7960547360982582,1.8749676345002457,0.30387796278142104
13,Trevor Ariza,arizatr01,34,2020,SAC,791,0.16399999999999998,2.9,18.4,10.4,8.5,2.2,0.8,13.7,11.3,0.3,0.8,1.1,0.069,.388,19.4,.261,.188,.042,.012,.018,.739,.488,.677,.000,.000,.000,.352,.571,.036,6,.977,.369,.333,-2.115043318937836,0.3803532977101662,-1.7346900212276688,-5.229954998003164,4.352697185402326,-0.8772578126008366,-2.8733690030230985,1.245875150088652,-1.6274938529344467,0.4517973781955247,0.4517973781955247,-2.8243802499733635,1.082354828739861,-1.742025421233502,-0.2725997149812273
14,Trevor Ariza,arizatr01,34,2020,POR,347,0.185,2.1,12.6,7.4,7.3,2.6,1.0,9.3,11.8,0.6,0.3,0.8,0.116,.388,19.4,.261,.188,.042,.012,.018,.739,.488,.677,.000,.000,.000,.352,.571,.036,6,.977,.369,.333,-0.6064073675213902,2.606224985987486,1.999817618466095,4.033675813845399,-2.632683893256725,1.400991920588674,0.3149690212936966,1.7067024955341217,2.021671516827819,0.932751563492072,0.932751563492072,0.078912898401988,1.7960547360982582,1.8749676345002457,0.30387796278142104
15,Trevor Ariza,arizatr01,34,2020,SAC,347,0.185,2.1,12.6,7.4,7.3,2.6,1.0,9.3,11.8,0.6,0.3,0.8,0.116,.388,19.4,.261,.188,.042,.012,.018,.739,.488,.677,.000,.000,.000,.352,.571,.036,6,.977,.369,.333,-2.115043318937836,0.3803532977101662,-1.7346900212276688,-5.229954998003164,4.352697185402326,-0.8772578126008366,-2.8733690030230985,1.245875150088652,-1.6274938529344467,0.4517973781955247,0.4517973781955247,-2.8243802499733635,1.082354828739861,-1.742025421233502,-0.2725997149812273
16,D.J. Augustin,augusdj01,32,2020,ORL,1013,0.399,1.5,8.7,5.0,27.2,1.3,0.1,12.4,18.8,1.5,0.8,2.3,0.108,.390,17.2,.579,.177,.177,.131,.095,.421,.426,.569,.241,.535,.355,.341,.160,.000,0,.574,.123,.294,0.1668807907801277,-2.1907974680195,-2.023916677239372,-3.436022987194727,5.002608211908903,1.5665852247141767,-0.5304615182358263,-0.8675710046022043,-1.398032522838031,0.6978538406148056,0.6978538406148056,-0.9679972827567,-0.8630652844376646,-1.831062567194365,-1.7138700722633897
17,Dwayne Bacon,bacondw01,24,2020,CHA,687,0.217,2.3,14.0,7.9,11.6,1.7,0.3,12.2,19.4,-1.2,0.4,-0.8,-0.054000000000000006,.348,11.6,.725,.320,.238,.107,.061,.275,.373,.449,.345,.231,.333,.284,.470,.012,3,.895,.149,.300,-5.284590324050313,-1.092100645098999,-6.376690969149313,-2.82216258575396,1.9257804193736598,-0.8963821663802995,-5.033294260390059,-0.4877141434324204,-5.521008403822478,-0.9667042457325408,-0.9667042457325408,-4.654743081745655,-1.642332360145556,-6.297075441891212,-0.4784371101986801
18,Marvin Bagley III,baglema01,20,2020,SAC,334,0.18600000000000005,9.5,23.7,16.4,5.0,0.9,3.4,9.1,25.9,0.0,0.3,0.4,0.055,.467,8.2,.868,.431,.293,.060,.084,.132,.510,.681,.306,.200,.571,.182,.635,.174,25,1.000,.045,.000,-3.6213022374195027,0.36983511121302,-3.251467126206482,-4.239739859409297,-3.930757656304419,-8.170497515713716,-3.9541313646275715,-0.4852353082999907,-4.439366672927563,-0.2883184167648072,-0.2883184167648072,-3.2687204141489863,-0.0054001087742869,-3.274120522923273,0.1555259625456164
19,Lonzo Ball,balllo01,22,2020,NOP,1503,0.101,3.7,16.4,10.0,28.7,1.9,1.3,20.3,18.7,0.3,1.3,1.6,0.052000000000000005,.400,17.9,.424,.209,.081,.052,.083,.576,.445,.619,.250,.286,.311,.367,.431,.026,13,.798,.228,.338,-0.8537071949787428,0.1014037706262569,-0.752303424352486,0.10141876093435301,0.1638489430581091,0.2652677039924621,-0.7308578455159527,0.1439822994734778,-0.5868755460424748,1.7183587424945632,1.7183587424945632,0.858618670300065,0.4567188634988608,1.315337533798926,0.9264552787678406
20,Mo Bamba,bambamo01,21,2020,ORL,747,0.135,10.3,25.8,17.7,6.8,1.3,8.7,13.4,16.9,0.4,1.5,2.0,0.126,.467,13.6,.638,.413,.125,.038,.063,.363,.542,.677,.200,.444,.400,.333,.566,.158,36,1.000,.103,.222,-2.1787640203987118,2.288653093825464,0.1098890734267521,-0.3636816345294376,3.162566886538754,2.798885252009316,-1.8948217913606782,2.6137618231003557,0.7189400317396779,1.3345762581321923,1.3345762581321923,-1.867045298960048,2.3737829163858066,0.5067376174257583,-0.5302489971987453
21,J.J. Barea,bareajo01,35,2020,DAL,263,0.109,3.2,10.2,6.8,37.5,0.6,0.3,13.5,25.3,0.7,0.1,0.8,0.14800000000000002,.446,14.3,.612,.281,.144,.122,.065,.388,.459,.590,.350,.294,.444,.426,.103,.000,0,.391,.130,.571,3.3468725551018483,0.6569019341326798,4.003774489234528,2.106736945370436,-1.902221660659571,0.2045152847108653,3.1660273282878353,0.1629378595221546,3.32896518780999,0.8745220400475913,0.8745220400475913,3.7805828306252014,-2.0092926250979866,1.7712902055272142,-0.0113833978795771
22,Harrison Barnes,barneha02,27,2020,SAC,1870,0.353,3.0,13.2,8.0,9.4,0.8,0.4,8.6,17.7,2.4,0.9,3.3,0.085,.456,11.9,.659,.284,.285,.061,.029,.341,.496,.685,.369,.342,.222,.379,.512,.040,23,.864,.374,.350,-0.0834477743623112,-0.7005571632570062,-0.7840049376193174,0.0587399549300711,0.9802593366943037,1.0389992916243749,-0.0410316963332994,-0.3800945848665362,-0.4211262811998356,2.3185006554407366,2.3185006554407366,-0.3016415229950321,-0.4474216474594996,-0.7490631704545317,0.2245641329154702
23,RJ Barrett,barrerj01,19,2020,NYK,1372,0.35600000000000004,3.3,14.7,8.8,12.1,1.6,1.1,12.5,23.2,-1.5,0.9,-0.5,-0.019,.389,10.6,.735,.392,.209,.059,.075,.265,.418,.550,.244,.314,.295,.308,.348,.061,30,.979,.340,.340,-2.30497336764518,-1.5805554707349008,-3.8855288383800812,-3.226085349679541,-3.4863983706953547,-6.712483720374896,-2.556538777128224,-2.0447062844206862,-4.60124506154891,-1.33130759261406,-1.33130759261406,-3.061583136756786,-1.595232910846316,-4.656816047603102,0.7678431346187402
24,Will Barton,bartowi01,29,2020,DEN,1598,0.183,4.9,16.6,10.7,16.3,1.6,1.4,9.1,19.9,2.2,1.9,4.1,0.123,.445,14.2,.629,.281,.187,.085,.077,.371,.484,.598,.319,.407,.551,.380,.371,.036,22,.689,.118,.500,1.914492188948361,1.247581327177219,3.16207351612558,2.8114594056707607,1.78929330839811,4.600752714068872,2.192821434340469,1.414280994029559,3.607102428370028,5.248776573229508,5.248776573229508,1.591960986380644,1.781561466457523,3.373522452838168,-0.6702776131530632
25,Keita Bates-Diop,bateske01,24,2020,MIN,665,0.332,3.2,14.8,8.8,6.6,1.2,2.6,5.5,15.7,0.7,0.5,1.2,0.087,.422,13.4,.544,.354,.136,.039,.015,.456,.500,.644,.250,.125,.333,.330,.661,.039,8,.968,.404,.421,-1.273453126355635,-2.564125666722002,-3.837578793077638,-7.523191981989125,-1.086735396003019,-8.609927377992145,-2.636698274632955,-2.3970146939855956,-5.033712968618551,-0.7475740161313146,-0.7475740161313146,-3.44485475349179,-2.605592317940315,-6.050447071432106,-0.6930596545167982
26,Keita Bates-Diop,bateske01,24,2020,DEN,665,0.332,3.2,14.8,8.8,6.6,1.2,2.6,5.5,15.7,0.7,0.5,1.2,0.087,.422,13.4,.544,.354,.136,.039,.015,.456,.500,.644,.250,.125,.333,.330,.661,.039,8,.968,.404,.421,2.081830218175634,3.6836752510181623,5.765505469193796,4.9469066998298565,5.165747068678017,10.112653768507869,2.825359686166416,4.1813191391454305,7.006678825311846,0.0941159266268697,0.0941159266268697,-0.2550957434466948,0.6462505960029178,0.39115485255622295,-0.4998368226252792
27,Keita Bates-Diop,bateske01,24,2020,MIN,646,0.316,3.3,14.9,8.9,6.8,1.2,2.6,5.6,15.9,0.6,0.5,1.1,0.083,.422,13.4,.544,.354,.136,.039,.015,.456,.500,.644,.250,.125,.333,.330,.661,.039,8,.968,.404,.421,-1.273453126355635,-2.564125666722002,-3.837578793077638,-7.523191981989125,-1.086735396003019,-8.609927377992145,-2.636698274632955,-2.3970146939855956,-5.033712968618551,-0.7475740161313146,-0.7475740161313146,-3.44485475349179,-2.605592317940315,-6.050447071432106,-0.6930596545167982
28,Keita Bates-Diop,bateske01,24,2020,DEN,646,0.316,3.3,14.9,8.9,6.8,1.2,2.6,5.6,15.9,0.6,0.5,1.1,0.083,.422,13.4,.544,.354,.136,.039,.015,.456,.500,.644,.250,.125,.333,.330,.661,.039,8,.968,.404,.421,2.081830218175634,3.6836752510181623,5.765505469193796,4.9469066998298565,5.165747068678017,10.112653768507869,2.825359686166416,4.1813191391454305,7.006678825311846,0.0941159266268697,0.0941159266268697,-0.2550957434466948,0.6462505960029178,0.39115485255622295,-0.4998368226252792
31,Nicolas Batum,batumni01,31,2020,CHA,505,0.123,5.2,16.8,10.8,18.2,1.7,1.5,20.5,9.3,0.2,0.4,0.6,0.053,.346,18.1,.395,.222,.012,.074,.086,.605,.438,.611,1.000,.333,.000,.286,.214,.037,3,.929,.388,.316,-1.332549644341806,3.2686642605796337,1.9361146162378282,3.368059991328956,-0.4408966710279414,2.9271633203010152,-0.4313653813364651,2.7390537855500687,2.307688404213604,1.2964208401630148,1.2964208401630148,-0.7794766161615683,1.9687218320398217,1.1892452158782543,-0.5243692055125003
32,Aron Baynes,baynear01,33,2020,PHO,756,0.205,7.7,20.3,13.9,12.6,0.4,2.2,10.7,20.5,1.1,0.6,1.7,0.11,.493,13.0,.576,.342,.178,.036,.020,.424,.611,.663,.611,.364,.167,.333,.748,.089,25,1.000,.132,.176,-1.092020636785364,-0.153120763671655,-1.2451414004570192,-0.11145221438584801,-1.4467602653148168,-1.5582124797006651,-0.9520228003321518,-0.4152220425692421,-1.3672448429013941,0.5525742289682108,0.5525742289682108,-1.321976741385222,0.447982008005846,-0.8739947333793764,0.4261545367684795
33,Kent Bazemore,bazemke01,30,2020,SAC,1333,0.252,1.7,15.3,8.5,7.2,2.0,2.2,13.7,16.8,-1.1,1.1,0.1,0.003,.347,16.8,.475,.212,.104,.083,.077,.525,.368,.464,.235,.259,.400,.327,.404,.015,5,.946,.433,.297,-0.7014507210894486,4.3477677734073845,3.646317052317936,-1.9763693399739832,1.4588435672432691,-0.5175257727307139,-0.99965121916946,4.0208263717328325,3.021175152563372,0.8091360948494768,0.8091360948494768,0.0494887371305981,3.4176078833739303,3.4670966205045284,-0.074166577867737
34,Kent Bazemore,bazemke01,30,2020,POR,1333,0.252,1.7,15.3,8.5,7.2,2.0,2.2,13.7,16.8,-1.1,1.1,0.1,0.003,.347,16.8,.475,.212,.104,.083,.077,.525,.368,.464,.235,.259,.400,.327,.404,.015,5,.946,.433,.297,-2.7339041342490797,2.097257223070627,-0.636646911178453,-4.54225134763667,4.367914556753236,-0.1743367908834328,-3.2980877117588108,2.7560163955287127,-0.5420713162300985,1.2629068934474852,1.2629068934474852,-2.428109062464764,2.455567182561484,0.0274581200967199,0.9278371953943162
35,Kent Bazemore,bazemke01,30,2020,SAC,1333,0.252,1.7,15.3,8.5,7.2,2.0,2.2,13.7,16.8,-1.1,1.1,0.1,0.003,.419,11.8,.657,.390,.162,.048,.057,.343,.435,.610,.176,.400,.000,.389,.600,.048,5,1.000,.528,.263,-0.7014507210894486,4.3477677734073845,3.646317052317936,-1.9763693399739832,1.4588435672432691,-0.5175257727307139,-0.99965121916946,4.0208263717328325,3.021175152563372,0.8091360948494768,0.8091360948494768,0.0494887371305981,3.4176078833739303,3.4670966205045284,-0.074166577867737
36,Kent Bazemore,bazemke01,30,2020,POR,1333,0.252,1.7,15.3,8.5,7.2,2.0,2.2,13.7,16.8,-1.1,1.1,0.1,0.003,.419,11.8,.657,.390,.162,.048,.057,.343,.435,.610,.176,.400,.000,.389,.600,.048,5,1.000,.528,.263,-2.7339041342490797,2.097257223070627,-0.636646911178453,-4.54225134763667,4.367914556753236,-0.1743367908834328,-3.2980877117588108,2.7560163955287127,-0.5420713162300985,1.2629068934474852,1.2629068934474852,-2.428109062464764,2.455567182561484,0.0274581200967199,0.9278371953943162
37,Kent Bazemore,bazemke01,30,2020,SAC,1111,0.221,1.2,14.5,7.9,7.2,1.9,2.3,14.4,15.9,-1.0,0.9,-0.1,-0.004,.347,16.8,.475,.212,.104,.083,.077,.525,.368,.464,.235,.259,.400,.327,.404,.015,5,.946,.433,.297,-0.7014507210894486,4.3477677734073845,3.646317052317936,-1.9763693399739832,1.4588435672432691,-0.5175257727307139,-0.99965121916946,4.0208263717328325,3.021175152563372,0.8091360948494768,0.8091360948494768,0.0494887371305981,3.4176078833739303,3.4670966205045284,-0.074166577867737
38,Kent Bazemore,bazemke01,30,2020,POR,1111,0.221,1.2,14.5,7.9,7.2,1.9,2.3,14.4,15.9,-1.0,0.9,-0.1,-0.004,.347,16.8,.475,.212,.104,.083,.077,.525,.368,.464,.235,.259,.400,.327,.404,.015,5,.946,.433,.297,-2.7339041342490797,2.097257223070627,-0.636646911178453,-4.54225134763667,4.367914556753236,-0.1743367908834328,-3.2980877117588108,2.7560163955287127,-0.5420713162300985,1.2629068934474852,1.2629068934474852,-2.428109062464764,2.455567182561484,0.0274581200967199,0.9278371953943162
39,Kent Bazemore,bazemke01,30,2020,SAC,1111,0.221,1.2,14.5,7.9,7.2,1.9,2.3,14.4,15.9,-1.0,0.9,-0.1,-0.004,.419,11.8,.657,.390,.162,.048,.057,.343,.435,.610,.176,.400,.000,.389,.600,.048,5,1.000,.528,.263,-0.7014507210894486,4.3477677734073845,3.646317052317936,-1.9763693399739832,1.4588435672432691,-0.5175257727307139,-0.99965121916946,4.0208263717328325,3.021175152563372,0.8091360948494768,0.8091360948494768,0.0494887371305981,3.4176078833739303,3.4670966205045284,-0.074166577867737
40,Kent Bazemore,bazemke01,30,2020,POR,1111,0.221,1.2,14.5,7.9,7.2,1.9,2.3,14.4,15.9,-1.0,0.9,-0.1,-0.004,.419,11.8,.657,.390,.162,.048,.057,.343,.435,.610,.176,.400,.000,.389,.600,.048,5,1.000,.528,.263,-2.7339041342490797,2.097257223070627,-0.636646911178453,-4.54225134763667,4.367914556753236,-0.1743367908834328,-3.2980877117588108,2.7560163955287127,-0.5420713162300985,1.2629068934474852,1.2629068934474852,-2.428109062464764,2.455567182561484,0.0274581200967199,0.9278371953943162
45,Darius Bazley,bazleda01,19,2020,OKC,909,0.204,2.6,20.6,11.9,4.3,1.1,3.3,13.8,14.1,-0.8,1.2,0.4,0.021,.383,13.0,.565,.300,.222,.026,.017,.435,.446,.623,.216,.333,.500,.300,.638,.100,20,.967,.430,.326,-4.474881575144369,1.9687480389991616,-2.506133536145208,-8.172243861810642,4.314027237683252,-3.8582166241273903,-5.528010188505829,2.5741998743932073,-2.953810314112621,-0.0940872239773887,-0.0940872239773887,-5.624364568114526,1.201840186843623,-4.422524381270903,-0.4687175360891416
46,Bradley Beal,bealbr01,26,2020,WAS,1635,0.358,2.9,10.8,6.7,29.0,1.4,0.9,11.2,33.5,3.7,0.2,3.9,0.116,.453,14.5,.640,.246,.142,.135,.117,.360,.528,.687,.404,.458,.424,.320,.361,.030,29,.650,.130,.340,5.070365580786588,-3.096793368509279,1.9735722122773103,3.0543233637627365,-7.410315996906912,-4.355992633144177,4.958276411906988,-4.112050430102757,0.8462259818042321,3.0924209180430986,3.0924209180430986,4.959288652803688,-4.190755126858865,0.7685335259448243,1.004447823547991
47,Malik Beasley,beaslma01,23,2020,DEN,844,0.12,1.6,11.0,6.3,10.0,1.9,0.6,10.3,21.3,0.0,0.8,0.8,0.045,.389,18.0,.465,.143,.130,.103,.090,.535,.421,.581,.231,.452,.407,.360,.644,.023,5,.966,.193,.419,-1.812381259955046,0.740581453533773,-1.0717998064212728,0.1823477479579456,0.6687531235728619,0.8511008715308075,-1.533654166927413,0.7626989366124945,-0.7709552303149181,0.75474773041585,0.75474773041585,-1.3890430408011898,0.128153377088004,-1.260889663713187,0.2038568981554568
