,name,player_id,age,season,team,MP,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,FG%,Avg_shot_dist,%_2point_attempts,%_FGA_0-3_dist,%_FGA_3-10_dist,%_FGA_10-16_dist,%_FGA_16-3pt_dist,%_3point_attempts,%FG_2point,%_FG_0-3_dist,%_FG_3-10_dist,%_FG_10-16_dist,%_FG_10-16_dist.1,3pt%,assisted_2pters,FG%_dunk_attempts,made_dunks,assisted_3pt%,%_corner_3pters,%_corner_3_made,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,predator_offense,predator_defense,predator_total,pace_impact
147,Allen Crabbe,crabbal01,27,2020,MIN,522,0.084,2.0,11.5,6.7,7.4,1.3,0.6,7.5,12.8,0.0,0.1,0.1,0.009000000000000001,.364,20.5,.350,.063,.091,.112,.084,.650,.440,.667,.308,.375,.500,.323,.591,.007,1,1.000,.194,.444,-5.2858804764441345,-7.509578884801022,-12.79545936124516,-7.896747666638897,-1.6566515750500712,-9.55339924168897,-6.157652152827513,-6.72628557941724,-12.88393773224475,-0.6799162127888821,-0.6799162127888821,-5.6044435312581085,-6.792257282372855,-12.396700813630959,0.391986358809789
152,Torrey Craig,craigto01,29,2020,DEN,760,0.177,6.1,14.6,10.3,4.9,1.0,3.3,9.2,11.8,0.6,0.9,1.5,0.095,.450,15.7,.478,.317,.089,.033,.039,.522,.593,.719,.375,.167,.429,.319,.667,.050,7,.967,.383,.306,-0.540449250326836,0.0481390960001191,-0.4923101543267169,-1.416961288901048,-2.565224144290247,-3.9821854331912965,-0.7574560908485719,-0.5246166472887719,-1.282072738137344,0.5774799745177005,0.5774799745177005,-1.2056922095413078,-0.3739493840883231,-1.5796415936296309,-0.6485999270387717
153,Jae Crowder,crowdja01,29,2020,MIA,1413,0.243,3.3,18.9,11.2,11.7,1.8,0.9,10.6,15.7,0.9,1.4,2.3,0.078,.556,19.0,.311,.200,.044,.022,.044,.689,.571,.556,1.000,1.000,.000,.548,.750,.000,0,.824,.258,.625,4.241419771966397,3.6765304552340163,7.917950227200412,-1.793469387504806,5.335268889025764,3.541799501520959,3.1994652170735765,4.250858829718732,7.450324046792308,0.7404854537895564,0.7404854537895564,1.095154848670147,4.050403055935087,5.1455579046052335,0.9304962265158424
154,Jae Crowder,crowdja01,29,2020,MEM,1413,0.243,3.3,18.9,11.2,11.7,1.8,0.9,10.6,15.7,0.9,1.4,2.3,0.078,.556,19.0,.311,.200,.044,.022,.044,.689,.571,.556,1.000,1.000,.000,.548,.750,.000,0,.824,.258,.625,-0.3149053814302086,-0.651157575925041,-0.9660629573552496,-1.07196953230344,-3.2692201126857827,-4.341189644989223,-0.4694480235966222,-1.2247006263959708,-1.6941486499925928,0.7151577087125527,0.7151577087125527,-0.2509517107697916,-0.6475625696456652,-0.8985142804154568,0.4301301644487063
155,Jae Crowder,crowdja01,29,2020,MIA,1413,0.243,3.3,18.9,11.2,11.7,1.8,0.9,10.6,15.7,0.9,1.4,2.3,0.078,.368,18.9,.333,.203,.050,.023,.058,.667,.519,.642,.300,.111,.435,.293,.594,.005,2,.821,.184,.306,4.241419771966397,3.6765304552340163,7.917950227200412,-1.793469387504806,5.335268889025764,3.541799501520959,3.1994652170735765,4.250858829718732,7.450324046792308,0.7404854537895564,0.7404854537895564,1.095154848670147,4.050403055935087,5.1455579046052335,0.9304962265158424
156,Jae Crowder,crowdja01,29,2020,MEM,1413,0.243,3.3,18.9,11.2,11.7,1.8,0.9,10.6,15.7,0.9,1.4,2.3,0.078,.368,18.9,.333,.203,.050,.023,.058,.667,.519,.642,.300,.111,.435,.293,.594,.005,2,.821,.184,.306,-0.3149053814302086,-0.651157575925041,-0.9660629573552496,-1.07196953230344,-3.2692201126857827,-4.341189644989223,-0.4694480235966222,-1.2247006263959708,-1.6941486499925928,0.7151577087125527,0.7151577087125527,-0.2509517107697916,-0.6475625696456652,-0.8985142804154568,0.4301301644487063
157,Jae Crowder,crowdja01,29,2020,MIA,1322,0.238,3.3,18.6,11.1,12.1,1.7,0.9,10.9,15.6,0.4,1.3,1.7,0.063,.556,19.0,.311,.200,.044,.022,.044,.689,.571,.556,1.000,1.000,.000,.548,.750,.000,0,.824,.258,.625,4.241419771966397,3.6765304552340163,7.917950227200412,-1.793469387504806,5.335268889025764,3.541799501520959,3.1994652170735765,4.250858829718732,7.450324046792308,0.7404854537895564,0.7404854537895564,1.095154848670147,4.050403055935087,5.1455579046052335,0.9304962265158424
158,Jae Crowder,crowdja01,29,2020,MEM,1322,0.238,3.3,18.6,11.1,12.1,1.7,0.9,10.9,15.6,0.4,1.3,1.7,0.063,.556,19.0,.311,.200,.044,.022,.044,.689,.571,.556,1.000,1.000,.000,.548,.750,.000,0,.824,.258,.625,-0.3149053814302086,-0.651157575925041,-0.9660629573552496,-1.07196953230344,-3.2692201126857827,-4.341189644989223,-0.4694480235966222,-1.2247006263959708,-1.6941486499925928,0.7151577087125527,0.7151577087125527,-0.2509517107697916,-0.6475625696456652,-0.8985142804154568,0.4301301644487063
159,Jae Crowder,crowdja01,29,2020,MIA,1322,0.238,3.3,18.6,11.1,12.1,1.7,0.9,10.9,15.6,0.4,1.3,1.7,0.063,.368,18.9,.333,.203,.050,.023,.058,.667,.519,.642,.300,.111,.435,.293,.594,.005,2,.821,.184,.306,4.241419771966397,3.6765304552340163,7.917950227200412,-1.793469387504806,5.335268889025764,3.541799501520959,3.1994652170735765,4.250858829718732,7.450324046792308,0.7404854537895564,0.7404854537895564,1.095154848670147,4.050403055935087,5.1455579046052335,0.9304962265158424
160,Jae Crowder,crowdja01,29,2020,MEM,1322,0.238,3.3,18.6,11.1,12.1,1.7,0.9,10.9,15.6,0.4,1.3,1.7,0.063,.368,18.9,.333,.203,.050,.023,.058,.667,.519,.642,.300,.111,.435,.293,.594,.005,2,.821,.184,.306,-0.3149053814302086,-0.651157575925041,-0.9660629573552496,-1.07196953230344,-3.2692201126857827,-4.341189644989223,-0.4694480235966222,-1.2247006263959708,-1.6941486499925928,0.7151577087125527,0.7151577087125527,-0.2509517107697916,-0.6475625696456652,-0.8985142804154568,0.4301301644487063
165,Jarrett Culver,culveja01,20,2020,MIN,1268,0.205,4.7,10.0,7.3,11.0,1.9,2.3,11.8,19.4,-1.4,1.0,-0.3,-0.012,.390,12.4,.606,.376,.184,.030,.016,.394,.460,.575,.242,.467,.250,.282,.370,.063,28,.800,.185,.194,-3.7120633821814915,-1.0607448996143158,-4.772808281795808,1.1081468388120157,-0.29745029839325,0.810696540418766,-2.900929623921442,-0.9528088929029788,-3.8537385168244214,-0.7257860847802042,-0.7257860847802042,-2.7126410141460977,-0.5626504482487871,-3.275291462394885,-0.0119642325371151
166,Seth Curry,curryse01,29,2020,DAL,1203,0.168,2.0,7.9,5.0,12.0,1.2,0.6,9.0,18.2,2.8,0.6,3.4,0.134,.476,18.8,.437,.091,.141,.096,.109,.563,.537,.714,.446,.545,.500,.429,.426,.000,0,.793,.166,.395,2.6451798271863667,-2.411968093968558,0.23321173321780897,-1.483281184611282,-1.189340873746978,-2.6726220583582596,1.867941234818366,-2.3119848371981346,-0.4440436023797689,1.484891263991147,1.484891263991147,1.931633820240176,-2.3781984160977028,-0.4465645958575268,-0.5525547035133581
168,Troy Daniels,danietr01,28,2020,LAL,446,0.098,3.0,7.7,5.4,4.1,0.9,0.6,5.3,16.0,0.3,0.4,0.7,0.071,.392,21.2,.294,.059,.072,.072,.092,.706,.467,.667,.545,.455,.286,.361,.762,.000,0,.974,.287,.419,-0.2516118472257706,-2.724767059731371,-2.9763789069571422,-4.05233225801159,1.151637320596058,-2.900694937415532,-1.1054633521944628,-2.137858893437208,-3.2433222456316715,-0.1120451001510058,-0.1120451001510058,-1.242293144204075,-2.8545586308759234,-4.096851775079998,-0.190842918932327
169,Anthony Davis,davisan02,26,2020,LAL,1595,0.455,6.7,22.1,14.6,15.1,2.2,6.0,10.1,29.2,5.5,3.3,8.8,0.265,.514,10.9,.811,.351,.175,.157,.128,.189,.558,.766,.434,.412,.333,.329,.594,.167,133,1.000,.171,.429,3.333324580383894,4.472758879086389,7.806083459470284,-3.7497786443590786,0.9446827147326364,-2.8050959296264435,1.9668483038252818,3.946453541823446,5.9133018456487285,7.2928119661431206,7.2928119661431206,2.4158599111031402,4.226986073691823,6.642845984794962,1.5028217016732188
170,Terence Davis,daviste02,22,2020,TOR,954,0.125,5.0,16.1,10.6,14.7,1.5,1.1,13.2,18.4,1.6,1.4,3.0,0.15,.478,15.9,.436,.307,.084,.034,.011,.564,.551,.682,.300,.167,.000,.421,.419,.056,13,.918,.238,.521,2.2444304833528967,0.3114848311792109,2.555915314532108,5.300875020864405,2.627296889520896,7.9281719103853,2.9890753596801622,0.7564863613097371,3.7455617209898993,3.2363404066109838,3.2363404066109838,2.6782687850233464,0.3673169674748761,3.0455857524982233,-0.2547229941752427
171,Dewayne Dedmon,dedmode01,30,2020,SAC,619,0.157,8.3,26.3,17.0,3.9,1.4,5.4,19.8,18.4,-0.8,0.8,0.0,0.003,.404,13.7,.585,.304,.181,.035,.064,.415,.550,.692,.355,.500,.455,.197,.709,.129,19,1.000,.141,.300,-5.943986910397013,2.831654147498189,-3.112332762898823,-2.171232450929049,1.246887546575614,-0.9243449043534352,-5.503950543237325,2.689322523611298,-2.814628019626027,-0.0178630251516571,-0.0178630251516571,-4.177964696406433,2.0603727636033757,-2.117591932803058,0.1402109358569334
172,Dewayne Dedmon,dedmode01,30,2020,ATL,619,0.157,8.3,26.3,17.0,3.9,1.4,5.4,19.8,18.4,-0.8,0.8,0.0,0.003,.404,13.7,.585,.304,.181,.035,.064,.415,.550,.692,.355,.500,.455,.197,.709,.129,19,1.000,.141,.300,-5.7896754335608955,6.1653399942258735,0.37566456066497794,7.133020126794653,0.2785993290370972,7.411619455831749,-3.445593275506704,5.3675326811447075,1.9219394056380041,0.2939991985121759,0.2939991985121759,-3.663172340431393,4.080081641690333,0.4169093012589391,0.2830868407933868
173,Dewayne Dedmon,dedmode01,30,2020,SAC,619,0.157,8.3,26.3,17.0,3.9,1.4,5.4,19.8,18.4,-0.8,0.8,0.0,0.003,.432,13.2,.568,.405,.027,.108,.027,.432,.571,.733,1.000,.000,.000,.250,.833,.081,3,1.000,.313,.000,-5.943986910397013,2.831654147498189,-3.112332762898823,-2.171232450929049,1.246887546575614,-0.9243449043534352,-5.503950543237325,2.689322523611298,-2.814628019626027,-0.0178630251516571,-0.0178630251516571,-4.177964696406433,2.0603727636033757,-2.117591932803058,0.1402109358569334
174,Dewayne Dedmon,dedmode01,30,2020,ATL,619,0.157,8.3,26.3,17.0,3.9,1.4,5.4,19.8,18.4,-0.8,0.8,0.0,0.003,.432,13.2,.568,.405,.027,.108,.027,.432,.571,.733,1.000,.000,.000,.250,.833,.081,3,1.000,.313,.000,-5.7896754335608955,6.1653399942258735,0.37566456066497794,7.133020126794653,0.2785993290370972,7.411619455831749,-3.445593275506704,5.3675326811447075,1.9219394056380041,0.2939991985121759,0.2939991985121759,-3.663172340431393,4.080081641690333,0.4169093012589391,0.2830868407933868
175,Dewayne Dedmon,dedmode01,30,2020,SAC,541,0.16399999999999998,9.3,26.1,17.4,4.0,1.4,4.6,20.4,18.5,-0.8,0.7,-0.1,-0.005,.404,13.7,.585,.304,.181,.035,.064,.415,.550,.692,.355,.500,.455,.197,.709,.129,19,1.000,.141,.300,-5.943986910397013,2.831654147498189,-3.112332762898823,-2.171232450929049,1.246887546575614,-0.9243449043534352,-5.503950543237325,2.689322523611298,-2.814628019626027,-0.0178630251516571,-0.0178630251516571,-4.177964696406433,2.0603727636033757,-2.117591932803058,0.1402109358569334
176,Dewayne Dedmon,dedmode01,30,2020,ATL,541,0.16399999999999998,9.3,26.1,17.4,4.0,1.4,4.6,20.4,18.5,-0.8,0.7,-0.1,-0.005,.404,13.7,.585,.304,.181,.035,.064,.415,.550,.692,.355,.500,.455,.197,.709,.129,19,1.000,.141,.300,-5.7896754335608955,6.1653399942258735,0.37566456066497794,7.133020126794653,0.2785993290370972,7.411619455831749,-3.445593275506704,5.3675326811447075,1.9219394056380041,0.2939991985121759,0.2939991985121759,-3.663172340431393,4.080081641690333,0.4169093012589391,0.2830868407933868
177,Dewayne Dedmon,dedmode01,30,2020,SAC,541,0.16399999999999998,9.3,26.1,17.4,4.0,1.4,4.6,20.4,18.5,-0.8,0.7,-0.1,-0.005,.432,13.2,.568,.405,.027,.108,.027,.432,.571,.733,1.000,.000,.000,.250,.833,.081,3,1.000,.313,.000,-5.943986910397013,2.831654147498189,-3.112332762898823,-2.171232450929049,1.246887546575614,-0.9243449043534352,-5.503950543237325,2.689322523611298,-2.814628019626027,-0.0178630251516571,-0.0178630251516571,-4.177964696406433,2.0603727636033757,-2.117591932803058,0.1402109358569334
178,Dewayne Dedmon,dedmode01,30,2020,ATL,541,0.16399999999999998,9.3,26.1,17.4,4.0,1.4,4.6,20.4,18.5,-0.8,0.7,-0.1,-0.005,.432,13.2,.568,.405,.027,.108,.027,.432,.571,.733,1.000,.000,.000,.250,.833,.081,3,1.000,.313,.000,-5.7896754335608955,6.1653399942258735,0.37566456066497794,7.133020126794653,0.2785993290370972,7.411619455831749,-3.445593275506704,5.3675326811447075,1.9219394056380041,0.2939991985121759,0.2939991985121759,-3.663172340431393,4.080081641690333,0.4169093012589391,0.2830868407933868
183,Matthew Dellavedova,dellama01,29,2020,CLE,565,0.219,2.3,7.9,5.1,28.1,1.3,0.2,22.6,13.7,-0.2,0.0,-0.2,-0.013,.323,17.0,.469,.100,.262,.100,.008,.531,.508,.538,.441,.615,1.000,.159,.258,.000,0,.818,.130,.222,-2.336410708626738,1.6326941587314039,-0.7037165498953344,-2.9977878455451314,8.026369686454807,5.028581840909678,-2.5670320753391622,3.1467762387827922,0.57974416344363,0.9888384891107176,0.9888384891107176,-2.250768326970897,0.9721250644223896,-1.278643262548508,0.1876151377034138
184,DeMar DeRozan,derozde01,30,2020,SAS,1783,0.423,2.0,15.6,8.8,24.5,1.5,0.6,11.5,27.2,4.6,1.0,5.6,0.151,.530,9.8,.966,.257,.258,.263,.188,.034,.538,.730,.502,.458,.438,.276,.281,.032,27,.875,.310,.444,2.8232424654464086,-2.232695214865677,0.5905472505807303,0.7894381161513874,-1.33735693567559,-0.547918819524203,2.5156498918955896,-2.181459286644572,0.3341906052510177,2.8361798789670085,2.8361798789670085,1.306695744826381,-1.7821225178282631,-0.4754267730018817,-0.9308381022263672
185,Cheick Diallo,diallch01,23,2020,PHO,420,0.289,6.2,23.9,14.9,7.3,1.1,2.3,16.0,16.4,0.8,0.5,1.3,0.145,.664,5.2,.984,.623,.156,.115,.090,.016,.667,.763,.526,.571,.364,.500,.825,.156,17,1.000,.500,1.000,-0.4847322723353657,0.5282291787062714,0.0434969063709057,-3.452862847915924,-1.2364046042785208,-4.6892674521944455,-1.131131372866539,0.2173550898643939,-0.9137762830021454,0.3944772533834054,0.3944772533834054,-1.14441612992159,-0.1097707423578299,-1.2541868722794198,0.0173437988467491
186,Hamidou Diallo,diallha01,21,2020,OKC,606,0.202,4.7,14.8,9.9,4.6,2.0,0.8,13.6,17.7,-0.5,0.7,0.2,0.015,.455,7.7,.848,.470,.263,.071,.045,.152,.506,.688,.231,.357,.444,.167,.682,.146,25,.800,.767,.217,-4.752877978026727,1.177020820235717,-3.5758571577910097,-3.2842104091799285,2.63545445650904,-0.6487559526708884,-4.750235712390137,1.5143386147183557,-3.23589709767178,-0.1498963899666931,-0.1498963899666931,-5.406832955720511,1.224538527628324,-4.182294428092187,-0.2267272474091123
187,Gorgui Dieng,dienggo01,30,2020,MEM,791,0.208,9.5,25.3,17.2,11.5,2.3,4.5,12.7,18.5,1.0,1.2,2.2,0.136,.448,15.0,.567,.300,.087,.069,.112,.433,.497,.602,.292,.421,.419,.383,.692,.065,15,.978,.242,.448,-0.6450767778371671,9.115716044209373,8.470639266372205,5.21537823498596,8.014726215129995,13.230104450115961,0.5756855889016468,9.462430807300573,10.038116396202222,0.306864708234252,0.306864708234252,0.1994071683950655,9.211928145844613,9.411335314239675,0.0709818331985939
188,Gorgui Dieng,dienggo01,30,2020,MIN,791,0.208,9.5,25.3,17.2,11.5,2.3,4.5,12.7,18.5,1.0,1.2,2.2,0.136,.448,15.0,.567,.300,.087,.069,.112,.433,.497,.602,.292,.421,.419,.383,.692,.065,15,.978,.242,.448,-1.7620581837511868,5.687009453463183,3.924951269711997,-7.724631550384352,5.5365929255198045,-2.1880386248645456,-3.084599456480256,6.007693398622625,2.9230939421423687,2.249646328982889,2.249646328982889,-3.0695144197145914,5.407753671381637,2.338239251667045,-0.0999739612417703
189,Gorgui Dieng,dienggo01,30,2020,MEM,791,0.208,9.5,25.3,17.2,11.5,2.3,4.5,12.7,18.5,1.0,1.2,2.2,0.136,.643,12.1,.643,.286,.214,.071,.071,.357,.778,1.000,.667,.000,1.000,.400,.857,.286,4,1.000,.800,.500,-0.6450767778371671,9.115716044209373,8.470639266372205,5.21537823498596,8.014726215129995,13.230104450115961,0.5756855889016468,9.462430807300573,10.038116396202222,0.306864708234252,0.306864708234252,0.1994071683950655,9.211928145844613,9.411335314239675,0.0709818331985939
190,Gorgui Dieng,dienggo01,30,2020,MIN,791,0.208,9.5,25.3,17.2,11.5,2.3,4.5,12.7,18.5,1.0,1.2,2.2,0.136,.643,12.1,.643,.286,.214,.071,.071,.357,.778,1.000,.667,.000,1.000,.400,.857,.286,4,1.000,.800,.500,-1.7620581837511868,5.687009453463183,3.924951269711997,-7.724631550384352,5.5365929255198045,-2.1880386248645456,-3.084599456480256,6.007693398622625,2.9230939421423687,2.249646328982889,2.249646328982889,-3.0695144197145914,5.407753671381637,2.338239251667045,-0.0999739612417703
191,Gorgui Dieng,dienggo01,30,2020,MEM,778,0.213,9.5,25.5,17.3,11.3,2.2,4.5,12.7,18.4,1.0,1.2,2.2,0.135,.448,15.0,.567,.300,.087,.069,.112,.433,.497,.602,.292,.421,.419,.383,.692,.065,15,.978,.242,.448,-0.6450767778371671,9.115716044209373,8.470639266372205,5.21537823498596,8.014726215129995,13.230104450115961,0.5756855889016468,9.462430807300573,10.038116396202222,0.306864708234252,0.306864708234252,0.1994071683950655,9.211928145844613,9.411335314239675,0.0709818331985939
192,Gorgui Dieng,dienggo01,30,2020,MIN,778,0.213,9.5,25.5,17.3,11.3,2.2,4.5,12.7,18.4,1.0,1.2,2.2,0.135,.448,15.0,.567,.300,.087,.069,.112,.433,.497,.602,.292,.421,.419,.383,.692,.065,15,.978,.242,.448,-1.7620581837511868,5.687009453463183,3.924951269711997,-7.724631550384352,5.5365929255198045,-2.1880386248645456,-3.084599456480256,6.007693398622625,2.9230939421423687,2.249646328982889,2.249646328982889,-3.0695144197145914,5.407753671381637,2.338239251667045,-0.0999739612417703
193,Gorgui Dieng,dienggo01,30,2020,MEM,778,0.213,9.5,25.5,17.3,11.3,2.2,4.5,12.7,18.4,1.0,1.2,2.2,0.135,.643,12.1,.643,.286,.214,.071,.071,.357,.778,1.000,.667,.000,1.000,.400,.857,.286,4,1.000,.800,.500,-0.6450767778371671,9.115716044209373,8.470639266372205,5.21537823498596,8.014726215129995,13.230104450115961,0.5756855889016468,9.462430807300573,10.038116396202222,0.306864708234252,0.306864708234252,0.1994071683950655,9.211928145844613,9.411335314239675,0.0709818331985939
194,Gorgui Dieng,dienggo01,30,2020,MIN,778,0.213,9.5,25.5,17.3,11.3,2.2,4.5,12.7,18.4,1.0,1.2,2.2,0.135,.643,12.1,.643,.286,.214,.071,.071,.357,.778,1.000,.667,.000,1.000,.400,.857,.286,4,1.000,.800,.500,-1.7620581837511868,5.687009453463183,3.924951269711997,-7.724631550384352,5.5365929255198045,-2.1880386248645456,-3.084599456480256,6.007693398622625,2.9230939421423687,2.249646328982889,2.249646328982889,-3.0695144197145914,5.407753671381637,2.338239251667045,-0.0999739612417703
199,Spencer Dinwiddie,dinwisp01,26,2020,BRK,1654,0.419,1.7,9.5,5.7,34.9,1.0,0.8,12.2,29.7,2.7,1.5,4.2,0.121,.414,13.0,.620,.327,.184,.081,.028,.380,.482,.626,.355,.247,.320,.304,.182,.012,11,.433,.137,.362,3.380434211474681,-2.5764463875678913,0.8039878239067897,3.3994265641009784,-0.8028056421907025,2.5966209219102767,3.651478554080442,-2.3825671626812874,1.268911391399155,3.5065806039420386,3.5065806039420386,3.6055044730089616,-2.218774134227485,1.386730338781478,-0.5250790798506847
200,Donte DiVincenzo,divindo01,23,2020,MIL,1124,0.154,4.6,14.9,10.1,12.7,3.0,1.1,13.0,16.9,1.0,2.5,3.5,0.151,.455,15.3,.519,.355,.069,.046,.049,.481,.559,.652,.185,.444,.526,.342,.531,.041,15,.797,.139,.269,0.968076858686103,3.157068134807366,4.1251449934934685,3.461484667627398,3.126379422571317,6.587864090198715,1.502646639694036,3.247187015263437,4.749833654957473,4.465324015461028,4.465324015461028,1.5829382267421002,3.346665727628368,4.929603954370467,0.4366483512250807
201,Luka Doncic,doncilu01,20,2020,DAL,1443,0.445,4.6,25.6,15.3,46.4,1.5,0.4,14.6,37.3,5.4,1.7,7.1,0.236,.466,14.9,.557,.260,.225,.057,.015,.443,.576,.762,.425,.365,.429,.327,.169,.013,12,.233,.020,.375,9.42328596281044,-0.5764039682365243,8.846881994573916,3.359207359225839,-2.204099464631914,1.1551078945939262,8.5118101623006,-0.954407875031532,7.557402287269068,7.891358003603388,7.891358003603388,9.104042472101279,-1.45989620804744,7.644146264053839,1.6294767851328171
202,Damyean Dotson,dotsoda01,25,2020,NYK,783,0.12,1.0,10.3,5.5,10.1,1.3,0.5,6.6,16.3,0.6,0.3,1.0,0.059,.418,19.6,.436,.124,.055,.062,.196,.564,.492,.706,.267,.353,.463,.361,.559,.000,0,.821,.155,.333,0.0676987519652705,-1.7795067634929842,-1.7118080115277132,-1.5799090918917433,1.2894741448620108,-0.2904349470297323,-0.2090144473960456,-1.2195083028981542,-1.4285227502942,0.5391300976812801,0.5391300976812801,-1.0563531897011909,-2.0623335943275456,-3.1186867840287364,-0.6795623534537047
203,Sekou Doumbouya,doumbse01,19,2020,DET,571,0.205,3.1,16.1,9.6,2.8,1.5,1.0,13.3,17.7,-0.6,0.4,-0.2,-0.015,.395,14.5,.570,.310,.195,.025,.040,.430,.465,.532,.410,.200,.375,.302,.736,.080,14,.923,.349,.267,-5.418137807370472,-2.179522748707683,-7.597660556078154,-1.9789531834628118,-2.112563774877732,-4.091516958340543,-5.0084010944084785,-2.258585007957541,-7.266986102366018,-1.38387347770619,-1.38387347770619,-5.097814847553985,-2.020224624068547,-7.118039471622533,-0.7602118022706551
205,Goran Dragic,dragigo01,33,2020,MIA,1217,0.317,1.8,9.6,5.9,28.8,1.0,0.6,15.4,25.7,1.6,0.9,2.5,0.099,.449,16.4,.524,.170,.150,.112,.092,.476,.503,.688,.415,.344,.500,.388,.313,.000,0,.644,.162,.405,2.34660642846905,-2.558501917483749,-0.2118954890146982,0.2788638414771351,-1.642346713714436,-1.3634828722373,2.014462797144537,-2.5191059916342784,-0.5046431944897409,1.460970436494585,1.460970436494585,1.994653510079079,-3.5017476470507516,-1.507094136971672,0.4265334698116974
206,Andre Drummond,drumman01,26,2020,DET,1705,0.375,15.6,37.7,26.5,13.9,2.8,4.1,18.2,25.6,0.8,3.4,4.3,0.12,.530,4.2,.969,.580,.355,.028,.006,.031,.546,.665,.390,.158,.000,.048,.568,.135,81,1.000,.143,.000,-2.6127459946909704,2.296908132044606,-0.3158378626463638,-0.8246900380126269,-0.1570951314583391,-0.981785169470966,-2.3833704176551747,1.984204250009484,-0.3991661676456912,1.988821466514152,1.988821466514152,-1.5799183173655709,2.7927951033334333,1.212876785967863,0.25824384343620105
207,Andre Drummond,drumman01,26,2020,CLE,1705,0.375,15.6,37.7,26.5,13.9,2.8,4.1,18.2,25.6,0.8,3.4,4.3,0.12,.530,4.2,.969,.580,.355,.028,.006,.031,.546,.665,.390,.158,.000,.048,.568,.135,81,1.000,.143,.000,-5.733586147377112,-3.043975207732895,-8.777561355110008,-6.694401169199495,-7.528546824419942,-14.222947993619439,-6.228179525510908,-4.014213293044343,-10.24239281855525,-0.3881931500088371,-0.3881931500088371,-6.857575060720143,-3.863042387151599,-10.72061744787174,3.6974351158234735
208,Andre Drummond,drumman01,26,2020,DET,1654,0.376,15.3,37.7,26.4,13.9,2.9,4.1,18.0,25.4,0.9,3.4,4.2,0.123,.530,4.2,.969,.580,.355,.028,.006,.031,.546,.665,.390,.158,.000,.048,.568,.135,81,1.000,.143,.000,-2.6127459946909704,2.296908132044606,-0.3158378626463638,-0.8246900380126269,-0.1570951314583391,-0.981785169470966,-2.3833704176551747,1.984204250009484,-0.3991661676456912,1.988821466514152,1.988821466514152,-1.5799183173655709,2.7927951033334333,1.212876785967863,0.25824384343620105
209,Andre Drummond,drumman01,26,2020,CLE,1654,0.376,15.3,37.7,26.4,13.9,2.9,4.1,18.0,25.4,0.9,3.4,4.2,0.123,.530,4.2,.969,.580,.355,.028,.006,.031,.546,.665,.390,.158,.000,.048,.568,.135,81,1.000,.143,.000,-5.733586147377112,-3.043975207732895,-8.777561355110008,-6.694401169199495,-7.528546824419942,-14.222947993619439,-6.228179525510908,-4.014213293044343,-10.24239281855525,-0.3881931500088371,-0.3881931500088371,-6.857575060720143,-3.863042387151599,-10.72061744787174,3.6974351158234735
212,Kris Dunn,dunnkr01,25,2020,CHI,1269,0.158,1.9,14.6,8.0,19.7,3.8,1.3,15.7,14.6,0.3,2.0,2.3,0.087,.444,11.8,.673,.395,.184,.056,.038,.327,.535,.644,.444,.263,.231,.259,.423,.023,8,.966,.259,.276,-1.326448371144338,3.881947681698915,2.555499310554576,-2.992316996420964,4.819224053009873,1.8269070565889094,-1.7025852600172442,4.296653302985528,2.594068042968285,3.4651322411087184,3.4651322411087184,-2.355880600697682,5.122384292972646,2.766503692274965,0.1518126476220052
213,Carsen Edwards,edwarca01,21,2020,BOS,296,0.126,1.8,13.0,7.5,10.0,1.6,0.9,12.1,17.9,-0.3,0.4,0.1,0.01,.320,19.5,.398,.126,.078,.078,.117,.602,.341,.385,.000,.250,.583,.306,.500,.000,0,.684,.129,.125,-3.69314116840102,-0.5360330843859089,-4.229174252786929,-12.266333670592921,2.7735441093385016,-9.49278956125442,-5.764886220217731,0.0863756881779051,-5.678510532039826,-0.4449372998086555,-0.4449372998086555,-5.183791674979989,-1.2262571822341841,-6.410048857214173,0.6173107737772879
214,Wayne Ellington,ellinwa01,32,2020,NYK,429,0.097,0.9,10.8,5.7,9.3,1.2,0.4,9.7,15.3,0.1,0.2,0.3,0.031,.358,22.8,.201,.052,.030,.007,.112,.799,.407,.857,.000,1.000,.267,.346,.636,.000,0,.946,.093,.700,-0.6503548731143198,0.0003854176994563,-0.6499694554148636,-1.5405279377386107,3.6671945995142634,2.126666661775653,-0.8040719638558346,0.8076347439762592,0.0035627801204247,0.6004643891792887,0.6004643891792887,-0.5877667134124904,-1.1741476299122582,-1.7619143433247493,-0.3764573040316656
215,Joel Embiid,embiijo01,25,2020,PHI,1188,0.523,9.7,33.1,21.5,17.5,1.3,3.8,13.3,32.0,2.5,2.3,4.9,0.196,.462,13.0,.765,.242,.186,.194,.142,.235,.499,.700,.472,.375,.362,.342,.476,.056,34,.925,.039,.333,1.509069393604982,3.116836341517828,4.625905735122809,-3.7036849983016715,3.934144547788593,0.2304595494869215,0.5345674418024812,3.417602254585678,3.95216969638816,4.329539130111634,4.329539130111634,1.902416171412479,4.411474578708022,6.3138907501205015,0.6611124440548073
