Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
26,Harrison Barnes\barneha02,PF,27,SAC,54,1870,13.1,.565,.327,.353,3.0,13.2,8.0,9.4,0.8,0.4,8.6,17.7,,2.4,0.9,3.3,.085,,-0.4,-1.1,-1.5,0.2
27,RJ Barrett\barrerj01,SG,19,NYK,45,1372,10.1,.466,.265,.356,3.3,14.7,8.8,12.1,1.6,1.1,12.5,23.2,,-1.5,0.9,-0.5,-0.019,,-3.6,-0.7,-4.3,-0.8
28,Will Barton\bartowi01,SF,29,DEN,48,1598,16.0,.543,.369,.183,4.9,16.6,10.7,16.3,1.6,1.4,9.1,19.9,,2.2,1.9,4.1,.123,,1.1,0.7,1.8,1.5
29,Keita Bates-Diop\bateske01,SF,24,TOT,39,665,12.7,.541,.452,.332,3.2,14.8,8.8,6.6,1.2,2.6,5.5,15.7,,0.7,0.5,1.2,.087,,-1.9,-0.5,-2.3,-0.1
29,Keita Bates-Diop\bateske01,SF,24,MIN,37,646,12.6,.535,.456,.316,3.3,14.9,8.9,6.8,1.2,2.6,5.6,15.9,,0.6,0.5,1.1,.083,,-1.9,-0.4,-2.3,0.0
29,Keita Bates-Diop\bateske01,SF,24,DEN,2,19,15.9,.931,.000,2.000,0.0,11.7,5.8,0.0,0.0,4.8,0.0,8.6,,0.1,0.0,0.1,.222,,-1.0,-1.4,-2.4,0.0
30,Nicolas Batum\batumni01,SF,31,CHO,22,505,9.2,.463,.605,.123,5.2,16.8,10.8,18.2,1.7,1.5,20.5,9.3,,0.2,0.4,0.6,.053,,-2.7,1.3,-1.4,0.1
31,Aron Baynes\baynear01,C,33,PHO,33,756,15.2,.582,.423,.205,7.7,20.3,13.9,12.6,0.4,2.2,10.7,20.5,,1.1,0.6,1.7,.110,,0.7,-0.6,0.1,0.4
32,Kent Bazemore\bazemke01,SF-SG,30,TOT,54,1333,8.2,.479,.493,.252,1.7,15.3,8.5,7.2,2.0,2.2,13.7,16.8,,-1.1,1.1,0.1,.003,,-3.3,0.5,-2.8,-0.3
32,Kent Bazemore\bazemke01,SF,30,POR,43,1111,7.6,.475,.525,.221,1.2,14.5,7.9,7.2,1.9,2.3,14.4,15.9,,-1.0,0.9,-0.1,-0.004,,-3.2,0.7,-2.5,-0.1
32,Kent Bazemore\bazemke01,SG,30,SAC,11,222,11.1,.491,.366,.378,3.9,19.4,11.4,7.2,2.4,1.7,11.1,21.1,,-0.1,0.3,0.2,.036,,-3.8,-0.3,-4.1,-0.1
