Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
100,Chris Clemons\clemoch01,SG,22,HOU,28,246,12.7,.547,.750,.056,1.3,8.5,4.9,13.2,1.1,1.7,11.8,24.1,,0.1,0.2,0.2,.047,,-0.7,-3.7,-4.4,-0.2
101,Antonius Cleveland\clevean01,SG,25,DAL,6,22,3.0,.363,.167,.333,0.0,14.1,7.2,0.0,2.2,3.9,12.7,15.3,,-0.1,0.0,0.0,-0.078,,-10.3,-0.6,-10.9,0.0
102,Amir Coffey\coffeam01,SG,22,LAC,6,54,9.8,.515,.278,.056,3.9,9.3,6.7,8.0,0.9,1.6,9.8,15.7,,0.0,0.1,0.1,.051,,-3.1,-0.7,-3.9,0.0
103,John Collins\collijo01,PF,22,ATL,30,967,22.7,.643,.244,.221,8.6,25.7,17.1,7.4,0.9,4.2,9.7,22.9,,2.4,0.9,3.2,.161,,1.5,-0.3,1.2,0.8
104,Zach Collins\colliza01,PF,22,POR,3,86,9.0,.624,.368,.316,4.8,9.4,7.2,9.2,0.0,1.9,21.7,13.6,,0.1,0.0,0.1,.046,,-1.8,-1.6,-3.4,0.0
105,Mike Conley\conlemi01,PG,32,UTA,32,893,13.0,.511,.416,.263,2.4,9.8,6.3,22.2,1.2,0.4,12.2,23.6,,0.5,0.9,1.4,.073,,-0.2,-0.9,-1.1,0.2
106,Pat Connaughton\connapa01,SG,27,MIL,50,914,11.0,.549,.514,.117,5.1,17.8,11.8,10.7,0.7,2.5,15.1,11.9,,0.6,1.7,2.3,.122,,-1.9,2.2,0.3,0.5
107,Quinn Cook\cookqu01,PG,26,LAL,34,387,10.8,.521,.375,.056,2.0,8.8,5.5,13.8,1.2,0.2,12.3,20.4,,0.0,0.4,0.4,.046,,-2.5,-2.4,-4.9,-0.3
108,Tyler Cook\cookty01,PF,22,CLE,11,35,24.0,.752,.000,.600,12.5,19.1,15.8,4.5,1.4,0.0,7.3,16.6,,0.2,0.0,0.2,.243,,2.4,-3.3,-1.0,0.0
109,Robert Covington\covinro01,PF,29,TOT,52,1538,13.6,.571,.639,.184,2.8,19.0,10.6,6.1,2.6,2.8,12.0,17.7,,0.7,2.1,2.8,.087,,-0.6,1.3,0.7,1.0
109,Robert Covington\covinro01,PF,29,MIN,48,1411,13.6,.572,.629,.190,2.6,19.3,10.7,5.9,2.6,2.6,12.0,17.8,,0.6,1.9,2.5,.084,,-0.6,1.2,0.6,0.9
109,Robert Covington\covinro01,PF,29,HOU,4,127,13.7,.554,.762,.119,4.9,15.7,10.3,7.7,2.6,4.7,12.0,16.3,,0.1,0.2,0.3,.110,,-0.6,2.0,1.5,0.1
110,Allen Crabbe\crabbal01,SG,27,TOT,36,642,6.3,.475,.669,.080,1.8,11.2,6.4,7.0,1.1,0.5,8.1,12.7,,-0.2,0.2,0.0,-0.001,,-3.1,-2.0,-5.2,-0.5
110,Allen Crabbe\crabbal01,SG,27,ATL,28,522,7.2,.482,.650,.084,2.0,11.5,6.7,7.4,1.3,0.6,7.5,12.8,,0.0,0.1,0.1,.009,,-2.8,-1.8,-4.5,-0.3
110,Allen Crabbe\crabbal01,SG,27,MIN,8,120,2.4,.441,.750,.063,0.8,9.9,5.2,5.7,0.0,0.0,10.8,12.7,,-0.1,0.0,-0.1,-0.042,,-4.8,-3.1,-7.9,-0.2
111,Torrey Craig\craigto01,SF,29,DEN,42,760,10.0,.549,.520,.177,6.1,14.6,10.3,4.9,1.0,3.3,9.2,11.8,,0.6,0.9,1.5,.095,,-1.5,0.8,-0.7,0.3
112,Jae Crowder\crowdja01,SF,29,TOT,48,1413,12.0,.529,.668,.243,3.3,18.9,11.2,11.7,1.8,0.9,10.6,15.7,,0.9,1.4,2.3,.078,,-0.1,0.6,0.6,0.9
112,Jae Crowder\crowdja01,SF,29,MEM,45,1322,11.0,.507,.667,.238,3.3,18.6,11.1,12.1,1.7,0.9,10.9,15.6,,0.4,1.3,1.7,.063,,-0.5,0.7,0.1,0.7
112,Jae Crowder\crowdja01,SF,29,MIA,3,91,26.1,.819,.690,.310,3.9,22.3,13.5,7.0,3.2,1.1,5.7,17.0,,0.4,0.2,0.6,.299,,6.6,0.2,6.7,0.2
113,Jarrett Culver\culveja01,SG,20,MIN,52,1268,9.1,.449,.390,.205,4.7,10.0,7.3,11.0,1.9,2.3,11.8,19.4,,-1.4,1.0,-0.3,-0.012,,-3.5,0.1,-3.4,-0.4
114,Seth Curry\curryse01,SG,29,DAL,51,1203,15.5,.631,.567,.168,2.0,7.9,5.0,12.0,1.2,0.6,9.0,18.2,,2.8,0.6,3.4,.134,,2.6,-2.1,0.5,0.8
115,Stephen Curry\curryst01,PG,31,GSW,4,112,20.3,.548,.561,.273,3.7,15.9,9.6,42.1,2.1,1.6,16.9,33.8,,0.1,0.1,0.2,.069,,4.3,-1.2,3.1,0.1
116,Troy Daniels\danietr01,SG,28,LAL,39,446,9.0,.529,.706,.098,3.0,7.7,5.4,4.1,0.9,0.6,5.3,16.0,,0.3,0.4,0.7,.071,,-0.9,-2.6,-3.5,-0.2
117,Anthony Davis\davisan02,PF,26,LAL,46,1595,28.3,.619,.188,.455,6.7,22.1,14.6,15.1,2.2,6.0,10.1,29.2,,5.5,3.3,8.8,.265,,3.4,3.7,7.1,3.7
118,Ed Davis\davised01,C,30,UTA,25,268,7.3,.425,.000,.324,12.4,25.6,19.3,3.8,1.8,2.8,25.1,8.5,,-0.1,0.5,0.4,.079,,-4.6,3.5,-1.0,0.1
119,Terence Davis\daviste02,SG,22,TOR,55,954,15.5,.615,.567,.125,5.0,16.1,10.6,14.7,1.5,1.1,13.2,18.4,,1.6,1.4,3.0,.150,,1.3,0.3,1.6,0.9
120,Dewayne Dedmon\dedmode01,C,30,TOT,37,619,9.3,.489,.416,.157,8.3,26.3,17.0,3.9,1.4,5.4,19.8,18.4,,-0.8,0.8,0.0,.003,,-5.9,1.2,-4.7,-0.4
120,Dewayne Dedmon\dedmode01,C,30,SAC,34,541,8.6,.477,.415,.164,9.3,26.1,17.4,4.0,1.4,4.6,20.4,18.5,,-0.8,0.7,-0.1,-0.005,,-6.0,0.8,-5.2,-0.4
120,Dewayne Dedmon\dedmode01,C,30,ATL,3,78,14.2,.567,.423,.115,1.4,27.9,14.5,3.8,1.8,10.7,15.5,17.2,,0.0,0.1,0.1,.061,,-5.7,3.9,-1.7,0.0
121,Matthew Dellavedova\dellama01,PG,29,CLE,46,565,7.1,.428,.523,.219,2.3,7.9,5.1,28.1,1.3,0.2,22.6,13.7,,-0.2,0.0,-0.2,-0.013,,-3.8,-3.3,-7.1,-0.7
122,DeMar DeRozan\derozde01,SF,30,SAS,52,1783,22.0,.604,.035,.423,2.0,15.6,8.8,24.5,1.5,0.6,11.5,27.2,,4.6,1.0,5.6,.151,,2.4,-1.0,1.5,1.6
123,Cheick Diallo\diallch01,C,23,PHO,38,420,17.0,.707,.017,.289,6.2,23.9,14.9,7.3,1.1,2.3,16.0,16.4,,0.8,0.5,1.3,.145,,-1.7,0.2,-1.5,0.1
124,Hamidou Diallo\diallha01,SF,21,OKC,32,606,8.6,.488,.150,.202,4.7,14.8,9.9,4.6,2.0,0.8,13.6,17.7,,-0.5,0.7,0.2,.015,,-4.8,-0.1,-4.9,-0.4
125,Gorgui Dieng\dienggo01,C,30,TOT,47,791,18.1,.563,.435,.208,9.5,25.3,17.2,11.5,2.3,4.5,12.7,18.5,,1.0,1.2,2.2,.136,,-0.2,2.7,2.4,0.9
125,Gorgui Dieng\dienggo01,C,30,MIN,46,778,18.0,.563,.433,.213,9.5,25.5,17.3,11.3,2.2,4.5,12.7,18.4,,1.0,1.2,2.2,.135,,-0.3,2.6,2.3,0.8
125,Gorgui Dieng\dienggo01,C,30,MEM,1,13,25.8,.583,.500,.000,8.3,16.0,12.2,23.2,7.2,6.6,14.3,22.5,,0.0,0.0,0.1,.208,,3.9,7.2,11.0,0.0
126,Spencer Dinwiddie\dinwisp01,SG,26,BRK,53,1654,18.0,.538,.379,.419,1.7,9.5,5.7,34.9,1.0,0.8,12.2,29.7,,2.7,1.5,4.2,.121,,2.4,-1.8,0.5,1.1
127,Donte DiVincenzo\divindo01,SG,23,MIL,49,1124,14.8,.560,.477,.154,4.6,14.9,10.1,12.7,3.0,1.1,13.0,16.9,,1.0,2.5,3.5,.151,,0.0,2.6,2.7,1.3
128,Luka Dončić\doncilu01,PG,20,DAL,44,1443,29.2,.592,.444,.445,4.6,25.6,15.3,46.4,1.5,0.4,14.6,37.3,,5.4,1.7,7.1,.236,,9.5,1.8,11.4,4.9
129,Luguentz Dort\dortlu01,SG,20,OKC,20,416,6.3,.511,.490,.235,3.0,4.9,4.0,3.9,1.8,0.2,9.6,13.2,,0.0,0.3,0.3,.038,,-2.0,-0.8,-2.8,-0.1
130,Damyean Dotson\dotsoda01,SG,25,NYK,45,783,11.2,.537,.566,.120,1.0,10.3,5.5,10.1,1.3,0.5,6.6,16.3,,0.6,0.3,1.0,.059,,-0.7,-2.2,-2.9,-0.2
131,Sekou Doumbouya\doumbse01,SF,19,DET,29,571,6.8,.486,.405,.205,3.1,16.1,9.6,2.8,1.5,1.0,13.3,17.7,,-0.6,0.4,-0.2,-0.015,,-5.1,-1.6,-6.7,-0.7
132,PJ Dozier\doziepj01,PG,23,DEN,15,221,9.8,.467,.313,.133,2.5,12.5,7.5,16.7,1.6,2.1,11.1,19.4,,-0.1,0.2,0.2,.035,,-3.4,-0.3,-3.8,-0.1
133,Goran Dragić\dragigo01,PG,33,MIA,43,1217,16.2,.576,.475,.317,1.8,9.6,5.9,28.8,1.0,0.6,15.4,25.7,,1.6,0.9,2.5,.099,,1.6,-2.5,-1.0,0.3
134,Andre Drummond\drumman01,C,26,TOT,51,1705,22.2,.549,.035,.375,15.6,37.7,26.5,13.9,2.8,4.1,18.2,25.6,,0.8,3.4,4.3,.120,,-1.4,4.4,3.0,2.2
134,Andre Drummond\drumman01,C,26,DET,49,1654,22.2,.550,.031,.376,15.3,37.7,26.4,13.9,2.9,4.1,18.0,25.4,,0.9,3.4,4.2,.123,,-1.4,4.5,3.2,2.1
134,Andre Drummond\drumman01,C,26,CLE,2,51,23.8,.525,.148,.370,25.7,37.2,31.4,13.6,1.9,5.0,22.3,33.8,,-0.1,0.1,0.0,.019,,-2.4,1.1,-1.3,0.0
135,Jared Dudley\dudleja01,SF,34,LAL,36,297,7.6,.593,.688,.042,1.9,12.6,7.4,7.3,1.8,0.9,10.9,7.8,,0.3,0.4,0.6,.104,,-1.5,0.7,-0.7,0.1
136,Kris Dunn\dunnkr01,PG,25,CHI,51,1269,12.2,.510,.327,.158,1.9,14.6,8.0,19.7,3.8,1.3,15.7,14.6,,0.3,2.0,2.3,.087,,-2.1,2.7,0.5,0.8
137,Carsen Edwards\edwarca01,SG,21,BOS,33,296,6.5,.442,.602,.126,1.8,13.0,7.5,10.0,1.6,0.9,12.1,17.9,,-0.3,0.4,0.1,.010,,-3.9,-1.0,-4.9,-0.2
138,Henry Ellenson\ellenhe01,PF,23,BRK,5,15,-1.2,.143,.571,.000,14.1,26.6,20.5,8.8,0.0,0.0,0.0,19.5,,-0.1,0.0,-0.1,-0.178,,-9.8,-2.9,-12.7,0.0
139,Wayne Ellington\ellinwa01,SG,32,NYK,28,429,8.4,.515,.799,.097,0.9,10.8,5.7,9.3,1.2,0.4,9.7,15.3,,0.1,0.2,0.3,.031,,-1.4,-2.3,-3.7,-0.2
140,Joel Embiid\embiijo01,C,25,PHI,39,1188,24.9,.584,.244,.523,9.7,33.1,21.5,17.5,1.3,3.8,13.3,32.0,,2.5,2.3,4.9,.196,,1.6,2.2,3.8,1.8
141,James Ennis\ennisja01,SF,29,TOT,51,806,12.3,.563,.464,.285,7.0,14.2,10.6,7.3,1.4,1.5,11.1,15.9,,0.9,1.0,1.9,.113,,-1.0,-0.3,-1.3,0.1
141,James Ennis\ennisja01,SF,29,PHI,49,776,12.3,.564,.469,.270,6.8,14.3,10.6,7.4,1.4,1.5,10.9,15.8,,0.8,1.0,1.9,.115,,-1.0,-0.2,-1.1,0.2
141,James Ennis\ennisja01,SF,29,ORL,2,30,11.7,.558,.333,.667,10.2,11.1,10.6,5.0,0.0,0.0,14.7,19.8,,0.0,0.0,0.0,.061,,-2.9,-3.9,-6.8,0.0
142,Drew Eubanks\eubandr01,PF,22,SAS,8,42,20.4,.705,.000,.200,15.4,28.0,21.7,7.6,0.0,2.1,23.5,22.0,,0.1,0.0,0.1,.121,,-1.3,-2.4,-3.8,0.0
143,Jacob Evans\evansja02,SG,22,TOT,28,415,5.7,.439,.286,.218,2.2,8.6,5.3,10.9,1.3,2.6,14.6,17.5,,-0.6,0.2,-0.4,-0.052,,-6.3,-1.2,-7.5,-0.6
143,Jacob Evans\evansja02,SG,22,GSW,27,414,5.7,.439,.286,.218,2.3,8.6,5.3,11.0,1.3,2.6,14.6,17.6,,-0.6,0.2,-0.4,-0.052,,-6.3,-1.2,-7.5,-0.6
143,Jacob Evans\evansja02,SG,22,MIN,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.008,,-6.8,-0.2,-6.9,0.0
144,Dante Exum\exumda01,SG,24,TOT,32,430,9.4,.545,.333,.333,2.3,12.3,7.3,12.6,1.5,1.0,19.0,15.2,,0.0,0.2,0.2,.023,,-3.1,-0.8,-3.9,-0.2
144,Dante Exum\exumda01,SG,24,UTA,11,83,4.9,.503,.261,.087,4.1,11.3,7.9,11.7,0.6,2.0,29.5,17.8,,-0.2,0.1,-0.1,-0.047,,-6.4,0.3,-6.1,-0.1
144,Dante Exum\exumda01,SG,24,CLE,21,347,10.5,.555,.353,.400,1.9,12.5,7.2,12.8,1.7,0.7,16.0,14.6,,0.2,0.1,0.3,.039,,-2.3,-1.1,-3.4,-0.1
145,Tacko Fall\fallta01,C,24,BOS,6,24,23.9,.713,.000,.250,0.0,48.9,24.7,0.0,0.0,7.6,18.4,29.0,,0.0,0.1,0.1,.102,,-9.4,-4.4,-13.8,-0.1
146,Derrick Favors\favorde01,C,28,NOP,36,859,19.6,.631,.020,.215,14.0,30.0,21.9,11.1,1.1,3.5,15.1,15.2,,1.9,1.1,3.0,.166,,0.2,2.4,2.6,1.0
147,Cristiano Felício\feliccr01,PF,27,CHI,15,267,12.6,.661,.051,.462,14.9,14.1,14.5,5.2,1.1,0.4,20.4,9.4,,0.5,0.2,0.7,.128,,-1.0,0.0,-1.1,0.1
148,Terrance Ferguson\fergute01,SF,21,OKC,41,1024,4.4,.520,.775,.075,2.3,4.7,3.6,5.1,1.1,1.0,12.7,8.8,,0.0,0.7,0.7,.034,,-1.4,0.2,-1.2,0.2
149,Bruno Fernando\fernabr01,C,21,ATL,45,550,11.4,.538,.204,.257,10.7,19.0,14.8,10.0,1.3,2.4,19.1,15.8,,0.1,0.4,0.5,.041,,-3.1,0.0,-3.1,-0.2
150,Yogi Ferrell\ferreyo01,PG,26,SAC,42,467,11.5,.510,.402,.213,1.4,10.0,5.6,17.8,1.5,0.8,11.4,18.9,,0.2,0.3,0.5,.048,,-2.3,-2.1,-4.5,-0.3
151,Dorian Finney-Smith\finnedo01,PF,26,DAL,55,1635,12.4,.594,.584,.208,7.3,12.4,9.9,6.8,1.1,1.6,11.2,12.9,,2.6,1.2,3.7,.110,,1.4,0.4,1.8,1.6
152,Bryn Forbes\forbebr01,SG,26,SAS,54,1367,11.0,.553,.648,.139,0.9,7.7,4.4,10.5,1.0,0.0,8.0,18.6,,1.0,0.2,1.2,.042,,0.9,-3.4,-2.5,-0.2
153,Evan Fournier\fournev01,SG,27,ORL,54,1713,16.2,.592,.459,.242,0.7,8.5,4.5,17.0,1.7,0.5,11.4,24.4,,2.2,1.6,3.8,.106,,2.0,-1.8,0.2,0.9
154,De'Aaron Fox\foxde01,PG,22,SAC,36,1135,19.8,.544,.210,.435,2.4,12.9,7.5,36.9,2.3,1.7,15.3,29.5,,1.3,1.1,2.4,.102,,1.5,0.1,1.7,1.1
155,Melvin Frazier\frazime01,SG,23,ORL,14,48,9.2,.480,.412,.235,2.1,6.9,4.4,3.1,4.1,3.8,9.6,18.8,,-0.1,0.1,0.0,.036,,-4.7,1.3,-3.3,0.0
156,Michael Frazier\frazimi01,SG,25,HOU,7,60,2.5,.515,.778,.667,1.7,3.5,2.6,2.1,1.5,0.0,14.7,9.3,,0.0,0.0,0.0,.018,,-3.8,-1.9,-5.7,-0.1
157,Tim Frazier\fraziti01,PG,29,DET,27,355,9.8,.464,.319,.255,2.8,7.7,5.2,36.2,1.9,0.9,25.6,17.2,,-0.1,0.2,0.1,.020,,-3.9,-2.6,-6.5,-0.4
158,Markelle Fultz\fultzma01,PG,21,ORL,54,1523,14.3,.520,.177,.212,1.7,11.8,6.6,28.3,2.3,0.5,15.1,20.8,,0.4,1.8,2.3,.071,,-1.5,0.0,-1.5,0.2
159,Wenyen Gabriel\gabriwe01,PF,22,TOT,18,118,7.1,.455,.387,.387,6.3,11.1,8.7,4.6,2.0,3.0,16.2,15.8,,-0.1,0.1,0.0,-0.009,,-4.8,0.0,-4.8,-0.1
159,Wenyen Gabriel\gabriwe01,PF,22,SAC,11,61,7.6,.444,.471,.588,7.1,11.5,9.2,6.7,2.4,3.1,18.9,18.9,,-0.1,0.1,0.0,-0.028,,-5.3,0.2,-5.1,0.0
159,Wenyen Gabriel\gabriwe01,PF,22,POR,7,57,6.7,.470,.286,.143,5.5,10.7,8.1,2.3,1.7,2.9,11.8,12.5,,0.0,0.0,0.0,.011,,-4.3,-0.3,-4.5,0.0
160,Daniel Gafford\gaffoda01,C,21,CHI,33,420,17.1,.660,.000,.380,9.7,10.6,10.1,5.1,1.0,9.4,13.4,13.7,,0.8,0.6,1.3,.153,,-1.9,4.0,2.1,0.4
161,Danilo Gallinari\gallida01,PF,31,OKC,47,1443,20.0,.617,.541,.357,2.5,17.5,10.2,11.7,1.1,0.2,7.9,24.4,,3.8,1.4,5.2,.174,,3.7,-1.7,1.9,1.4
162,Langston Galloway\gallola01,SG,28,DET,57,1480,12.1,.583,.620,.167,2.0,7.5,4.8,8.8,1.4,0.6,6.4,15.5,,2.1,0.7,2.8,.090,,1.0,-1.6,-0.6,0.5
163,Darius Garland\garlada01,PG,20,CLE,53,1616,8.3,.494,.437,.110,1.6,5.3,3.4,18.6,1.1,0.1,17.6,21.0,,-1.3,-0.1,-1.5,-0.043,,-2.5,-3.5,-6.0,-1.6
164,Marc Gasol\gasolma01,C,35,TOR,35,974,12.1,.551,.537,.156,3.2,20.9,12.2,16.8,1.4,3.3,14.8,12.7,,0.9,1.7,2.6,.130,,-1.0,3.5,2.5,1.1
165,Rudy Gay\gayru01,PF,33,SAS,51,1072,14.1,.545,.375,.241,4.3,22.7,13.6,11.5,0.9,1.9,13.4,20.8,,0.4,0.8,1.2,.052,,-1.5,-0.8,-2.3,-0.1
166,Paul George\georgpa01,SF,29,LAC,34,1001,20.3,.578,.495,.277,1.6,19.3,10.6,21.4,2.1,1.6,13.8,30.6,,1.3,1.6,2.9,.140,,2.7,0.8,3.5,1.4
167,Taj Gibson\gibsota01,C,34,NYK,52,857,15.3,.593,.047,.169,11.0,16.8,13.8,8.3,1.3,2.5,13.6,14.5,,1.3,0.7,2.0,.110,,-1.0,0.7,-0.3,0.4
168,Harry Giles\gilesha01,PF,21,SAC,28,349,16.0,.572,.000,.164,7.5,24.4,15.7,15.1,2.0,2.5,15.4,20.3,,0.3,0.4,0.8,.107,,-2.5,1.6,-0.9,0.1
169,Shai Gilgeous-Alexander\gilgesh01,SG,21,OKC,55,1955,17.5,.560,.237,.339,2.3,16.1,9.4,14.3,1.6,1.6,9.7,23.9,,2.4,2.3,4.7,.117,,0.0,0.5,0.6,1.3
170,Rudy Gobert\goberru01,C,27,UTA,52,1797,22.4,.691,.000,.689,12.3,32.7,23.0,6.6,0.9,4.7,14.8,16.7,,5.2,3.5,8.8,.234,,1.1,3.9,5.0,3.2
171,Brandon Goodwin\goodwbr01,PG,24,ATL,26,355,12.1,.510,.459,.151,3.0,16.3,9.6,17.3,1.4,0.9,12.8,22.8,,-0.1,0.2,0.1,.016,,-2.1,-2.3,-4.4,-0.2
172,Aaron Gordon\gordoaa01,PF,24,ORL,49,1580,14.1,.504,.317,.270,5.5,19.2,12.1,15.5,1.2,1.4,9.9,21.0,,0.6,1.9,2.5,.075,,-1.1,0.7,-0.5,0.6
173,Eric Gordon\gordoer01,SG,31,HOU,28,823,11.0,.517,.660,.238,0.9,6.3,3.5,7.3,1.0,1.1,6.3,22.0,,0.3,0.4,0.8,.045,,-0.9,-3.3,-4.3,-0.5
174,Devonte' Graham\grahade01,PG,24,CHO,54,1901,15.9,.536,.616,.244,2.3,9.2,5.6,36.3,1.3,0.7,14.7,24.6,,2.3,0.7,3.0,.075,,2.9,-2.8,0.1,1.0
175,Treveon Graham\grahatr01,SG,26,TOT,45,784,5.9,.446,.495,.223,4.4,12.0,8.1,5.4,1.2,0.5,9.4,12.9,,-0.3,0.4,0.1,.005,,-3.9,-1.2,-5.1,-0.6
175,Treveon Graham\grahatr01,SG,26,MIN,33,663,6.1,.447,.474,.211,4.4,11.6,7.9,6.2,1.2,0.3,9.0,13.1,,-0.2,0.3,0.1,.008,,-3.6,-1.0,-4.6,-0.4
175,Treveon Graham\grahatr01,SG,26,ATL,12,121,4.6,.442,.630,.296,4.4,14.4,9.4,1.1,1.2,2.1,11.6,11.9,,-0.1,0.1,0.0,-0.017,,-5.6,-2.0,-7.6,-0.2
176,Jerami Grant\grantje01,PF,25,DEN,54,1424,13.8,.580,.397,.304,3.7,11.7,7.7,6.1,1.2,3.1,7.9,17.4,,1.9,1.5,3.4,.115,,-0.2,0.2,0.0,0.7
177,Josh Gray\grayjo01,PG,26,NOP,2,23,-5.0,.500,.000,.000,4.5,4.6,4.6,10.5,0.0,0.0,71.4,12.5,,-0.1,0.0,-0.1,-0.229,,-11.3,-1.7,-13.1,-0.1
178,Danny Green\greenda02,SG,32,LAL,52,1299,11.5,.566,.695,.117,3.3,11.7,7.6,6.9,2.4,1.7,10.4,14.4,,1.0,1.9,2.9,.108,,0.5,1.2,1.7,1.2
179,Draymond Green\greendr01,PF,29,GSW,41,1194,12.7,.491,.405,.269,2.0,22.2,11.7,30.9,2.3,2.5,21.4,15.7,,-0.1,1.3,1.2,.048,,-2.6,2.0,-0.6,0.4
180,JaMychal Green\greenja01,PF,29,LAC,46,952,10.4,.537,.672,.156,7.3,24.1,15.9,4.7,1.1,1.6,12.8,13.6,,0.5,1.5,2.0,.099,,-1.4,0.7,-0.8,0.3
181,Javonte Green\greenja02,SF,26,BOS,41,375,13.0,.569,.245,.383,4.6,15.1,9.9,7.7,2.8,1.2,12.7,14.3,,0.3,0.6,1.0,.123,,-1.8,1.3,-0.5,0.1
182,Jeff Green\greenje02,PF,33,UTA,30,553,10.1,.523,.533,.323,2.9,12.6,8.0,5.1,1.1,1.5,10.8,19.7,,0.0,0.6,0.6,.055,,-2.1,-0.7,-2.9,-0.1
183,Blake Griffin\griffbl01,PF,30,DET,18,512,12.0,.476,.444,.392,3.7,14.9,9.2,17.8,0.7,1.1,12.0,28.3,,-0.3,0.3,-0.1,-0.006,,-2.1,-2.4,-4.5,-0.3
184,Marko Guduric\gudurma01,SG,24,MEM,33,434,7.8,.500,.514,.167,3.0,12.0,7.5,11.9,1.2,1.4,18.7,17.5,,-0.4,0.3,-0.1,-0.008,,-3.7,-1.0,-4.7,-0.3
185,Kyle Guy\guyky01,SG,22,SAC,2,4,9.9,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,,0.0,0.0,0.0,-0.021,,-3.4,-7.5,-10.9,0.0
186,Rui Hachimura\hachiru01,PF,21,WAS,30,864,14.4,.540,.155,.194,5.6,17.3,11.2,7.8,1.2,0.5,6.5,19.8,,0.9,0.2,1.1,.063,,-1.2,-2.3,-3.5,-0.3
187,Devon Hall\hallde01,SG,24,OKC,5,20,3.6,.370,.400,.800,0.0,5.4,2.8,19.2,0.0,0.0,12.9,17.1,,0.0,0.0,0.0,-0.061,,-6.9,-4.7,-11.6,0.0
188,Tim Hardaway\hardati02,SG,27,DAL,52,1424,14.9,.576,.575,.180,1.5,9.8,5.7,10.8,1.1,0.2,6.7,21.5,,2.5,0.7,3.2,.108,,2.0,-2.7,-0.7,0.5
189,James Harden\hardeja01,SG,30,HOU,51,1891,29.0,.620,.553,.517,3.0,15.4,9.2,34.2,2.0,2.2,13.6,36.6,,7.8,2.2,10.1,.255,,9.1,0.1,9.3,5.4
190,Maurice Harkless\harklma01,SF,26,TOT,51,1166,9.6,.575,.339,.188,4.3,13.6,9.0,5.6,2.0,2.3,15.9,10.2,,0.5,1.7,2.2,.091,,-1.7,2.8,1.1,0.9
190,Maurice Harkless\harklma01,SF,26,LAC,50,1141,9.6,.584,.336,.194,4.3,13.5,9.0,5.5,2.0,2.3,16.3,10.2,,0.5,1.7,2.2,.094,,-1.6,2.9,1.3,0.9
190,Maurice Harkless\harklma01,SF,26,NYK,1,25,5.3,.286,.429,.000,4.1,17.6,10.6,10.9,1.9,0.0,0.0,11.9,,0.0,0.0,0.0,-0.023,,-5.5,-0.5,-6.0,0.0
191,Jared Harper\harpeja01,PG,22,PHO,3,8,-5.3,.250,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,,0.0,0.0,0.0,-0.251,,-11.5,-6.9,-18.4,0.0
192,Montrezl Harrell\harremo01,C,26,LAC,54,1533,22.5,.598,.022,.402,10.0,15.5,12.8,10.6,1.1,3.5,10.3,25.6,,3.6,2.1,5.7,.178,,1.0,1.1,2.1,1.6
193,Gary Harris\harriga01,SG,25,DEN,46,1476,9.1,.496,.418,.173,1.6,8.4,5.0,9.2,2.0,0.7,9.2,15.3,,0.1,1.5,1.6,.051,,-1.8,0.1,-1.6,0.1
194,Joe Harris\harrijo01,SF,28,BRK,52,1634,12.6,.590,.534,.121,3.0,10.9,7.1,10.1,1.0,0.7,10.7,17.5,,1.8,1.5,3.3,.097,,0.5,-0.4,0.1,0.9
195,Tobias Harris\harrito02,PF,27,PHI,55,1884,16.4,.558,.312,.187,2.2,19.3,10.8,14.1,1.0,1.4,8.0,23.3,,2.3,2.4,4.8,.121,,0.1,0.0,0.1,1.0
196,Shaquille Harrison\harrish01,SF,26,CHI,33,253,16.4,.525,.226,.333,3.3,16.7,9.7,18.9,3.2,2.6,10.1,20.0,,0.2,0.4,0.6,.122,,-2.0,1.6,-0.5,0.1
197,Josh Hart\hartjo01,SF,24,NOP,48,1351,12.1,.568,.676,.191,3.6,20.5,12.0,7.7,1.8,1.2,10.9,15.3,,1.2,1.3,2.4,.087,,0.0,0.3,0.3,0.8
198,Isaiah Hartenstein\harteis01,C,21,HOU,23,266,18.8,.674,.075,.418,11.3,24.1,17.6,9.9,1.6,3.9,16.8,14.7,,0.7,0.4,1.1,.191,,-0.8,2.0,1.2,0.2
199,Udonis Haslem\hasleud01,PF,39,MIA,2,11,16.0,.906,.000,4.000,0.0,29.1,15.2,0.0,0.0,0.0,0.0,11.1,,0.1,0.0,0.1,.288,,-1.9,-5.7,-7.6,0.0
200,Jaxson Hayes\hayesja02,C,19,NOP,52,928,18.2,.677,.017,.747,9.2,16.1,12.6,7.6,1.1,4.6,11.6,15.2,,2.5,0.9,3.4,.176,,0.4,1.4,1.8,0.9
201,Gordon Hayward\haywago01,SF,29,BOS,37,1227,18.6,.598,.310,.186,3.6,18.1,10.9,18.9,1.1,1.3,10.7,20.8,,2.7,1.6,4.3,.168,,2.2,0.7,2.9,1.5
