,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
228,187,Devon Hall\hallde01,SG,24,OKC,5,20,3.6,0.37,0.4,0.8,0.0,5.4,2.8,19.2,0.0,0.0,12.9,17.1,,0.0,0.0,0.0,-0.061,,-6.9,-4.7,-11.6,0.0
229,188,Tim Hardaway\hardati02,SG,27,DAL,52,1424,14.9,0.5760000000000001,0.575,0.18,1.5,9.8,5.7,10.8,1.1,0.2,6.7,21.5,,2.5,0.7,3.2,0.10800000000000001,,2.0,-2.7,-0.7,0.5
230,189,James Harden\hardeja01,SG,30,HOU,51,1891,29.0,0.62,0.5529999999999999,0.517,3.0,15.4,9.2,34.2,2.0,2.2,13.6,36.6,,7.8,2.2,10.1,0.255,,9.1,0.1,9.3,5.4
231,190,Maurice Harkless\harklma01,SF,26,TOT,51,1166,9.6,0.575,0.33899999999999997,0.188,4.3,13.6,9.0,5.6,2.0,2.3,15.9,10.2,,0.5,1.7,2.2,0.091,,-1.7,2.8,1.1,0.9
232,190,Maurice Harkless\harklma01,SF,26,LAC,50,1141,9.6,0.584,0.336,0.19399999999999998,4.3,13.5,9.0,5.5,2.0,2.3,16.3,10.2,,0.5,1.7,2.2,0.094,,-1.6,2.9,1.3,0.9
233,190,Maurice Harkless\harklma01,SF,26,NYK,1,25,5.3,0.28600000000000003,0.429,0.0,4.1,17.6,10.6,10.9,1.9,0.0,0.0,11.9,,0.0,0.0,0.0,-0.023,,-5.5,-0.5,-6.0,0.0
234,191,Jared Harper\harpeja01,PG,22,PHO,3,8,-5.3,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,,0.0,0.0,0.0,-0.251,,-11.5,-6.9,-18.4,0.0
235,192,Montrezl Harrell\harremo01,C,26,LAC,54,1533,22.5,0.598,0.022000000000000002,0.402,10.0,15.5,12.8,10.6,1.1,3.5,10.3,25.6,,3.6,2.1,5.7,0.17800000000000002,,1.0,1.1,2.1,1.6
236,193,Gary Harris\harriga01,SG,25,DEN,46,1476,9.1,0.496,0.418,0.17300000000000001,1.6,8.4,5.0,9.2,2.0,0.7,9.2,15.3,,0.1,1.5,1.6,0.051,,-1.8,0.1,-1.6,0.1
237,194,Joe Harris\harrijo01,SF,28,BRK,52,1634,12.6,0.59,0.534,0.121,3.0,10.9,7.1,10.1,1.0,0.7,10.7,17.5,,1.8,1.5,3.3,0.09699999999999999,,0.5,-0.4,0.1,0.9
238,195,Tobias Harris\harrito02,PF,27,PHI,55,1884,16.4,0.5579999999999999,0.312,0.187,2.2,19.3,10.8,14.1,1.0,1.4,8.0,23.3,,2.3,2.4,4.8,0.121,,0.1,0.0,0.1,1.0
239,196,Shaquille Harrison\harrish01,SF,26,CHI,33,253,16.4,0.525,0.226,0.33299999999999996,3.3,16.7,9.7,18.9,3.2,2.6,10.1,20.0,,0.2,0.4,0.6,0.122,,-2.0,1.6,-0.5,0.1
240,197,Josh Hart\hartjo01,SF,24,NOP,48,1351,12.1,0.568,0.6759999999999999,0.191,3.6,20.5,12.0,7.7,1.8,1.2,10.9,15.3,,1.2,1.3,2.4,0.087,,0.0,0.3,0.3,0.8
241,198,Isaiah Hartenstein\harteis01,C,21,HOU,23,266,18.8,0.674,0.075,0.418,11.3,24.1,17.6,9.9,1.6,3.9,16.8,14.7,,0.7,0.4,1.1,0.191,,-0.8,2.0,1.2,0.2
242,199,Udonis Haslem\hasleud01,PF,39,MIA,2,11,16.0,0.9059999999999999,0.0,4.0,0.0,29.1,15.2,0.0,0.0,0.0,0.0,11.1,,0.1,0.0,0.1,0.28800000000000003,,-1.9,-5.7,-7.6,0.0
243,200,Jaxson Hayes\hayesja02,C,19,NOP,52,928,18.2,0.677,0.017,0.747,9.2,16.1,12.6,7.6,1.1,4.6,11.6,15.2,,2.5,0.9,3.4,0.17600000000000002,,0.4,1.4,1.8,0.9
244,201,Gordon Hayward\haywago01,SF,29,BOS,37,1227,18.6,0.598,0.31,0.18600000000000003,3.6,18.1,10.9,18.9,1.1,1.3,10.7,20.8,,2.7,1.6,4.3,0.168,,2.2,0.7,2.9,1.5
