,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1,Steven Adams\adamsst01,C,26,OKC,49,1322,20.1,0.597,0.008,0.396,14.1,23.6,19.0,14.3,1.3,3.6,14.6,17.1,,3.0,2.0,5.0,0.182,,1.0,3.3,4.3,2.1
1,2,Bam Adebayo\adebaba01,PF,22,MIA,54,1865,20.7,0.613,0.019,0.473,8.8,24.2,16.8,22.5,1.8,3.4,17.2,19.9,,4.1,3.0,7.1,0.183,,1.1,4.0,5.1,3.3
2,3,LaMarcus Aldridge\aldrila01,C,34,SAS,50,1661,20.3,0.58,0.195,0.245,6.4,18.1,12.2,11.3,0.9,4.3,7.9,23.3,,3.3,1.3,4.6,0.133,,1.4,0.4,1.8,1.6
3,4,Nickeil Alexander-Walker\alexani01,SG,21,NOP,41,501,7.7,0.441,0.515,0.12300000000000001,1.7,15.3,8.4,20.5,1.0,1.2,14.3,22.9,,-0.7,0.3,-0.4,-0.038,,-4.0,-2.1,-6.1,-0.5
4,5,Grayson Allen\allengr01,SG,24,MEM,30,498,11.4,0.5770000000000001,0.517,0.19899999999999998,1.1,12.7,7.0,11.7,0.6,0.2,10.7,18.0,,0.5,0.2,0.7,0.065,,-0.8,-2.6,-3.4,-0.2
5,6,Jarrett Allen\allenja01,C,21,BRK,53,1410,20.6,0.6559999999999999,0.013999999999999999,0.569,12.3,24.7,18.7,7.9,1.1,4.5,11.7,15.0,,3.8,2.5,6.3,0.213,,0.2,3.3,3.5,2.0
6,7,Kadeem Allen\allenka01,SG,27,NYK,10,117,14.1,0.512,0.364,0.25,1.7,6.6,4.1,27.4,2.1,1.6,14.1,20.6,,0.1,0.1,0.1,0.055,,-1.4,-2.5,-3.9,-0.1
7,8,Al-Farouq Aminu\aminual01,PF,29,ORL,18,380,7.7,0.395,0.419,0.337,6.5,18.4,12.2,7.6,2.3,1.9,14.7,13.3,,-0.4,0.6,0.2,0.02,,-5.1,2.1,-3.0,-0.1
8,9,Justin Anderson\anderju01,SF,26,BRK,3,17,-3.8,0.218,0.5,0.33299999999999996,0.0,11.8,6.0,0.0,0.0,4.8,0.0,16.9,,-0.1,0.0,-0.1,-0.16699999999999998,,-12.7,-2.6,-15.3,-0.1
9,10,Kyle Anderson\anderky01,PF,26,MEM,48,868,13.2,0.539,0.192,0.254,5.6,18.4,12.1,15.4,1.9,2.4,14.8,13.4,,0.7,1.0,1.7,0.096,,-1.8,2.2,0.4,0.5
10,11,Ryan Anderson\anderry01,PF,31,HOU,2,14,9.6,0.35700000000000004,0.7140000000000001,0.0,0.0,52.5,26.1,20.1,3.3,0.0,12.5,23.5,,0.0,0.0,0.0,-0.031,,-7.3,1.8,-5.5,0.0
11,12,Giannis Antetokounmpo\antetgi01,PF,25,MIL,48,1482,32.2,0.608,0.242,0.519,8.4,32.9,21.4,34.0,1.6,3.0,13.0,37.7,,5.0,3.9,8.9,0.289,,7.0,5.1,12.0,5.3
12,13,Kostas Antetokounmpo\antetko01,PF,22,LAL,3,5,8.6,,,,0.0,21.4,11.0,22.4,0.0,0.0,,0.0,,0.0,0.0,0.0,0.132,,-4.8,1.0,-3.8,0.0
