player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Steven Adams,adamsst01,2020,RS,OKC,2838,1355,.7118131643858757,.882907667901729,1.594720832287605,1.196510408831154,1.111174149658058,2.307684558489211,.8499985140139217,.988913158211693,1.838911672225615,3.153671444995634,3.153671444995634,0,.1085677446622588,1.421451366187082,1.53001911084934,-.6026561347391249
Bam Adebayo,adebaba01,2020,RS,MIA,3952,1927,-.7957306506671863,2.169670245066934,1.373939594399748,3.506719662473972,.8227341565058526,4.329453818979825,.0147145046291472,1.999087735069847,2.013802239698995,4.648077702638157,4.648077702638157,0,-.1053243742505927,1.108234335182297,1.002909960931704,-.7728757913240295
LaMarcus Aldridge,aldrila01,2020,RS,SAS,3523,1696,-.4071401628954294,.5262519510610283,.1191117881655989,-.7876733950164145,-2.229077520435936,-3.016750915452351,-.5533155182922662,.0241591813334609,-.5291563369588054,1.894905183598255,1.894905183598255,0,-.5166045451347343,.4854548885964406,-.0311496565382937,-1.422239776899714
Nickeil Alexander-Walker,alexani01,2020,RS,NOP,1098,501,-3.090772773400912,-1.731434614229566,-4.822207387630478,.6357831351560063,-3.760454628256115,-3.124671493100108,-2.51512288386203,-2.224647445717531,-4.739770329579561,-.5110530301579961,-.5110530301579961,0,-.9099614543532913,-2.290986469340872,-3.200947923694163,.4909420452581587
Grayson Allen,allengr01,2020,RS,MEM,1100,498,-.1563119851753222,-1.571261826712238,-1.72757381188756,-1.034275996938158,-3.017205063099865,-4.051481060038022,-.329295216112316,-1.954803679628832,-2.284098895741149,.1189173495956561,.1189173495956561,0,-.632823782694542,-2.583427724328287,-3.216251507022829,.4665959883020226
Jarrett Allen,allenja01,2020,RS,BRK,3070,1447,-1.196542908776266,3.10056811497001,1.904025206193743,3.323544845640233,-.5335189002535613,2.790025945386671,-.3160632783212725,2.497613671339074,2.181550393017802,3.622344576300772,3.622344576300772,0,-.6048535536857309,2.178362713701914,1.573509160016183,-.5161427725861225
Kadeem Allen,allenka01,2020,RS,NYK,252,117,.9448272843367629,5.331165665647458,6.275992949984221,2.842219994275597,-6.144987968669736,-3.302767974394139,1.503402342300324,3.330072184654705,4.833474526955029,.4472743200252741,.4472743200252741,0,2.212913089428822,1.823893540943656,4.036806630372478,-1.219064620886948
Al-Farouq Aminu,aminual01,2020,RS,ORL,793,380,-4.382569229792649,2.088054207667273,-2.294515022125376,-8.958915300394301,4.700665441376811,-4.258249859017489,-5.584990891508752,2.738469567345217,-2.846521324163535,-.0186425690312687,-.0186425690312687,0,-5.266695374890158,2.575665046999248,-2.69103032789091,-.3849037536183336
Justin Anderson,anderju01,2020,RS,BRK,38,17,-7.683849621783874,4.108287333562289,-3.575562288221585,-19.39769243843013,11.69673591145116,-7.700956526978967,-10.59793471365386,5.922055620877463,-4.675879092776399,-.0166245175063403,-.0166245175063403,0,-9.656126844052091,1.922106438752617,-7.734020405299473,-.4849688534633338
Kyle Anderson,anderky01,2020,RS,MEM,2004,913,-.6649417495072432,1.77207750498192,1.107135755474677,-6.238171329529871,2.35292811188611,-3.885243217643761,-1.841386342449626,2.015370263920332,.173983921470706,1.363175121525003,1.363175121525003,0,-2.512889239865265,1.281543481587536,-1.231345758277729,.0858842417414289
Ryan Anderson,anderry01,2020,RS,HOU,33,14,-10.4893946087856,-1.548026178920587,-12.03742078770619,7.846910911850133,7.169751111960555,15.01666202381069,-7.272981225505371,.2539432789622956,-7.019037946543076,-.0315801827075662,-.0315801827075662,0,-5.380027061647241,-1.190445235996674,-6.570472297643915,3.637892674586929
Giannis Antetokounmpo,antetgi01,2020,RS,MIL,3460,1543,6.170028691398193,2.741364305843646,8.91139299724184,1.757004509626619,5.825603132535868,7.582607642162486,5.500747327950241,3.466143126901028,8.966890454851269,9.406192120907972,9.406192120907972,0,5.265340480038464,2.792602825230513,8.057943305268978,2.015292156034929
Kostas Antetokounmpo,antetko01,2020,RS,LAL,12,5,-1.098275149128789,-17.45834951007122,-18.55662465920001,8.845862105416369,-19.9194377166593,-11.07357561124293,.8935590672576653,-19.18704491021132,-18.29348584295365,-.0391545705747485,-.0391545705747485,0,-1.999290792031264,-13.60342356235045,-15.60271435438171,-1.278428225068274
Thanasis Antetokounmpo,antetth01,2020,RS,MIL,140,61,.4402159075323275,-.9828936884865141,-.5426777809541866,-.0969470093944609,-.7882161111800823,-.8851631205745432,.239459328060227,-1.14467682449282,-.9052174964325929,.0580751359983504,.0580751359983504,0,-.2617045811327439,-1.067486229425198,-1.329190810557942,1.175380618384898
Carmelo Anthony,anthoca01,2020,RS,POR,2780,1331,-2.890136494808524,-3.671838914612288,-6.561975409420812,1.925861334752211,-3.050475042407948,-1.124613707655737,-2.094426272552635,-3.731240588928013,-5.825666861480648,-2.065229287376977,-2.065229287376977,0,-1.349972833788223,-3.269736955526847,-4.61970978931507,-1.142193705439866
OG Anunoby,anunoog01,2020,RS,TOR,3412,1613,-2.055292773631241,1.789889643339081,-.2654031302921609,1.65272665215387,-1.160509299671867,.492217352482003,-1.426298253958204,1.236301752845673,-.1899965011125311,2.107256416634643,2.107256416634643,0,-1.315346917331748,1.538164557046833,.2228176397150849,.0239654287270805
