,Rank,Name,Age,games,min_played,FG%,Avg_shot_dist,%_2point_attempts,%_FGA_0-3_dist,%_FGA_3-10_dist,%_FGA_10-16_dist,%_FGA_16-3pt_dist,%_3point_attempts,%FG_2point,%_FG_0-3_dist,%_FG_3-10_dist,%_FG_10-16_dist,%_FG_10-16_dist,3pt%,assisted_2pters,FG%_dunk_attempts,made_dunks,assisted_3pt%,%_corner_3pters,%_corner_3_made,3-Pt Field Goals.3,3-Pt Field Goals.4
0,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
1,Rk,,Age,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P%,0-3,3-10,10-16,16-3pt,3P%,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
132,2,Chris Paul\paulch01,34,56,1777,.487,17.2,.645,.065,.126,.313,.141,.355,.554,.848,.506,.527,.520,.365,.134,.000,0,.326,.103,.269,8,0
133,3,Dennis Schröder\schrode01,26,56,1742,.470,14.9,.657,.222,.128,.172,.134,.343,.515,.647,.454,.441,.451,.384,.351,.004,3,.847,.100,.586,4,0
134,4,Danilo Gallinari\gallida01,31,49,1501,.439,18.6,.460,.150,.094,.074,.141,.540,.479,.636,.258,.469,.462,.406,.510,.044,25,.861,.096,.353,1,0
135,5,Steven Adams\adamsst01,26,51,1382,.583,4.4,.993,.513,.405,.075,.000,.008,.584,.751,.377,.567,,.333,.659,.170,63,1.000,.333,.000,1,1
136,6,Terrance Ferguson\fergute01,21,43,1054,.381,20.5,.222,.125,.040,.011,.045,.778,.641,.636,.429,1.000,.750,.307,.920,.028,3,.976,.423,.345,0,0
137,7,Darius Bazley\bazleda01,19,53,909,.383,13.0,.565,.300,.222,.026,.017,.435,.446,.623,.216,.333,.500,.300,.638,.100,20,.967,.430,.326,0,0
138,8,Nerlens Noel\noelne01,25,48,891,.680,5.2,.987,.614,.184,.123,.066,.013,.684,.857,.524,.286,.267,.333,.831,.443,94,1.000,.333,1.000,1,0
139,9,Abdel Nader\naderab01,26,41,627,.470,15.0,.508,.260,.166,.039,.044,.492,.576,.745,.433,.429,.250,.360,.698,.033,6,.969,.315,.321,0,0
140,10,Hamidou Diallo\diallha01,21,33,621,.455,7.7,.848,.470,.263,.071,.045,.152,.506,.688,.231,.357,.444,.167,.682,.146,25,.800,.767,.217,0,0
141,11,Mike Muscala\muscami01,28,38,468,.413,20.7,.247,.147,.020,.060,.020,.753,.568,.682,.333,.222,1.000,.363,.857,.020,3,1.000,.168,.368,0,0
142,12,Luguentz Dort\dortlu01,20,22,462,.436,13.4,.521,.350,.145,.026,.000,.479,.541,.707,.235,.000,,.321,.606,.085,9,1.000,.464,.308,0,0
143,13,Deonte Burton\burtode02,26,31,258,.368,14.3,.579,.326,.179,.021,.053,.421,.491,.677,.235,.000,.400,.200,.778,.042,4,.875,.225,.111,2,0
144,14,Justin Patton\pattoju01,22,5,24,.400,13.5,.600,.200,.300,.000,.100,.400,.500,.500,.667,,.000,.250,1.000,.100,1,1.000,.500,.000,0,0
145,15,Devon Hall\hallde01,24,5,20,.200,12.6,.600,.400,.200,.000,.000,.400,.333,.500,.000,,,.000,.000,.000,0,,.000,,0,0
146,16,Kevin Hervey\herveke01,23,6,13,.000,22.2,.200,.000,.000,.200,.000,.800,.000,,,.000,,.000,,.000,0,,.250,.000,0,0
147,17,Isaiah Roby\robyis01,21,2,5,.000,4.0,1.000,.000,1.000,.000,.000,.000,.000,,.000,,,,,.000,0,,,,0,0
148,1,Damian Lillard\lillada01,29,54,1996,.460,16.5,.511,.302,.074,.064,.070,.489,.524,.613,.280,.423,.494,.393,.088,.015,14,.274,.033,.389,2,0
149,2,CJ McCollum\mccolcj01,28,54,1937,.448,15.4,.629,.172,.162,.146,.148,.371,.484,.575,.381,.467,.506,.387,.209,.005,3,.685,.153,.559,0,0
150,3,Hassan Whiteside\whiteha01,30,53,1640,.610,5.1,.993,.544,.273,.103,.073,.007,.611,.723,.526,.356,.452,.500,.651,.180,99,1.000,.000,,0,0
151,4,Carmelo Anthony\anthoca01,35,42,1369,.419,14.5,.708,.200,.097,.228,.183,.292,.444,.525,.456,.410,.389,.360,.427,.031,12,.919,.180,.516,1,0
152,5,Anfernee Simons\simonan01,20,57,1265,.406,15.7,.582,.208,.136,.136,.102,.418,.456,.582,.375,.359,.438,.335,.352,.025,11,.682,.178,.371,1,0
153,6,Kent Bazemore\bazemke01,30,43,1111,.347,16.8,.475,.212,.104,.083,.077,.525,.368,.464,.235,.259,.400,.327,.404,.015,5,.946,.433,.297,4,0
154,7,Gary Trent\trentga02,21,45,838,.429,19.1,.391,.102,.090,.109,.090,.609,.462,.593,.333,.379,.542,.407,.417,.015,4,.818,.284,.370,1,0
155,8,Mario Hezonja\hezonma01,24,40,645,.385,12.5,.660,.353,.167,.077,.064,.340,.437,.473,.500,.333,.200,.283,.533,.051,6,1.000,.189,.200,1,0
156,9,Rodney Hood\hoodro01,27,21,619,.506,16.2,.587,.116,.163,.186,.122,.413,.515,.800,.286,.500,.571,.493,.308,.023,4,.886,.366,.538,0,0
157,10,Skal Labissière\labissk01,23,33,567,.551,8.3,.912,.374,.279,.177,.082,.088,.582,.673,.463,.615,.500,.231,.731,.197,27,1.000,.154,.000,0,0
158,11,Anthony Tolliver\tollian01,34,33,554,.368,20.3,.239,.154,.060,.009,.017,.761,.464,.444,.429,1.000,.500,.337,.846,.017,2,.967,.258,.435,0,0
159,12,Nassir Little\littlna01,19,41,520,.434,11.7,.603,.397,.154,.037,.015,.397,.549,.648,.429,.200,.000,.259,.711,.132,15,1.000,.426,.174,0,0
160,13,Trevor Ariza\arizatr01,34,13,418,.511,12.4,.543,.435,.087,.022,.000,.457,.620,.725,.250,.000,,.381,.774,.120,8,.813,.357,.400,0,0
161,14,Caleb Swanigan\swanica01,22,12,185,.529,5.4,.941,.618,.176,.118,.029,.059,.563,.667,.333,.250,1.000,.000,.889,.029,1,,.500,.000,0,0
162,15,Jaylen Hoard\hoardja01,20,13,103,.469,5.6,.906,.625,.156,.094,.031,.094,.517,.750,.000,.000,.000,.000,.467,.031,1,,.000,,0,0
163,16,Zach Collins\colliza01,22,3,86,.474,12.9,.632,.368,.105,.105,.053,.368,.500,.714,.000,.500,.000,.429,.833,.053,1,1.000,.143,.000,0,0
164,17,Wenyen Gabriel\gabriwe01,22,9,84,.412,9.5,.706,.529,.118,.059,.000,.294,.500,.556,.000,1.000,,.200,.500,.176,2,1.000,.400,.500,0,0
165,18,Moses Brown\brownmo01,20,9,33,.400,2.0,1.000,.800,.200,.000,.000,.000,.400,.375,.500,,,,.750,.200,1,,,,0,0
166,1,Andrew Wiggins\wiggian01,24,42,1455,.444,13.8,.652,.252,.214,.101,.085,.348,.505,.683,.456,.288,.358,.331,.365,.028,20,.736,.135,.270,0,0
167,2,Robert Covington\covinro01,29,48,1411,.435,18.2,.371,.232,.097,.018,.024,.629,.587,.661,.479,.444,.417,.346,.769,.016,7,.889,.093,.379,3,0
168,3,Jarrett Culver\culveja01,20,54,1315,.390,12.4,.606,.376,.184,.030,.016,.394,.460,.575,.242,.467,.250,.282,.370,.063,28,.800,.185,.194,1,0
169,4,Josh Okogie\okogijo01,21,53,1299,.417,12.0,.609,.394,.178,.032,.006,.391,.524,.642,.323,.273,.000,.250,.577,.089,27,.941,.301,.366,0,0
170,5,Karl-Anthony Towns\townska01,24,35,1187,.508,14.0,.555,.328,.148,.032,.047,.445,.586,.721,.457,.250,.276,.412,.505,.064,38,.816,.101,.429,0,0
171,6,Jeff Teague\teaguje01,31,34,945,.448,11.8,.731,.296,.309,.099,.028,.269,.473,.531,.430,.406,.556,.379,.134,.003,1,.424,.080,.286,0,0
172,7,Shabazz Napier\napiesh01,28,36,856,.403,17.8,.438,.230,.067,.085,.057,.562,.540,.662,.316,.333,.625,.296,.194,.000,0,.511,.113,.222,0,0
173,8,Gorgui Dieng\dienggo01,30,46,778,.448,15.0,.567,.300,.087,.069,.112,.433,.497,.602,.292,.421,.419,.383,.692,.065,15,.978,.242,.448,0,0
174,9,Treveon Graham\grahatr01,26,33,663,.354,13.9,.526,.297,.206,.023,.000,.474,.457,.481,.389,.750,,.241,.619,.000,0,.950,.253,.238,0,0
175,10,Keita Bates-Diop\bateske01,24,37,646,.422,13.4,.544,.354,.136,.039,.015,.456,.500,.644,.250,.125,.333,.330,.661,.039,8,.968,.404,.421,0,0
176,11,Kelan Martin\martike03,24,24,416,.380,16.6,.473,.160,.167,.100,.047,.527,.507,.708,.400,.600,.000,.266,.722,.020,3,.857,.380,.333,0,0
177,12,Jordan McLaughlin\mclaujo01,23,21,410,.460,14.2,.548,.317,.198,.024,.008,.452,.522,.550,.440,1.000,.000,.386,.278,.040,5,.773,.105,.333,3,0
178,13,Jake Layman\laymaja01,25,14,369,.462,14.7,.591,.356,.106,.038,.091,.409,.538,.596,.286,.600,.583,.352,.810,.053,7,.947,.222,.333,0,0
179,14,Noah Vonleh\vonleno01,24,29,347,.547,8.1,.837,.512,.302,.000,.023,.163,.625,.705,.538,,.000,.143,.556,.174,13,1.000,.143,.000,0,0
180,15,Naz Reid\reidna01,20,21,270,.423,14.0,.530,.309,.201,.020,.000,.470,.481,.630,.300,.000,,.357,.605,.060,7,.920,.171,.500,0,0
181,16,Jordan Bell\belljo01,25,27,235,.533,6.1,.850,.683,.117,.050,.000,.150,.588,.634,.571,.000,,.222,.733,.150,8,.500,.556,.400,0,0
182,17,Malik Beasley\beaslma01,23,5,168,.460,16.8,.471,.172,.138,.092,.069,.529,.488,.600,.500,.500,.167,.435,.800,.057,4,.850,.152,.286,0,0
183,18,Juan Hernangómez\hernaju01,24,5,143,.407,12.3,.574,.426,.130,.019,.000,.426,.355,.435,.143,.000,,.478,.545,.019,1,.909,.304,.429,0,0
184,19,Allen Crabbe\crabbal01,27,9,131,.324,21.2,.235,.088,.059,.029,.059,.765,.625,1.000,.500,1.000,.000,.231,1.000,.000,0,1.000,.423,.364,0,0
185,20,James Johnson\johnsja01,32,5,128,.405,13.9,.571,.405,.095,.048,.024,.429,.417,.588,.000,.000,.000,.389,.500,.000,0,.857,.167,.333,1,0
186,21,Jaylen Nowell\nowelja01,20,10,117,.364,15.2,.477,.273,.136,.045,.023,.523,.619,.583,.667,.500,1.000,.130,.538,.045,2,.667,.348,.125,0,0
187,22,D'Angelo Russell\russeda01,23,3,101,.412,18.8,.490,.098,.098,.157,.137,.510,.480,.600,.600,.625,.143,.346,.000,.000,0,.333,.115,.000,0,0
188,23,Jarred Vanderbilt\vandeja01,20,2,5,.000,24.0,.000,.000,.000,.000,.000,1.000,,,,,,.000,,.000,0,,1.000,.000,0,0
189,24,Jacob Evans\evansja02,22,1,1,,,,,,,,,,,,,,,,,0,,,,0,0
190,1,Giannis Antetokounmpo\antetgi01,25,50,1543,.552,9.7,.760,.488,.160,.067,.046,.240,.629,.767,.338,.433,.457,.311,.438,.165,152,.573,.029,.286,0,0
191,2,Khris Middleton\middlkh01,28,49,1453,.508,16.5,.629,.131,.129,.204,.166,.371,.546,.688,.447,.537,.521,.443,.398,.014,10,.725,.148,.525,0,0
192,3,Brook Lopez\lopezbr01,31,54,1441,.428,16.1,.491,.218,.178,.083,.012,.509,.568,.704,.420,.512,.667,.294,.667,.067,30,1.000,.159,.325,0,0
193,4,Wesley Matthews\matthwe02,33,53,1302,.407,19.8,.307,.137,.079,.052,.040,.693,.485,.689,.308,.412,.231,.373,.653,.006,2,.929,.281,.406,0,0
194,5,Eric Bledsoe\bledser01,30,48,1300,.482,12.0,.697,.341,.192,.095,.068,.303,.542,.711,.360,.418,.385,.343,.303,.003,2,.450,.126,.273,0,0
195,6,Donte DiVincenzo\divindo01,23,51,1162,.455,15.3,.519,.355,.069,.046,.049,.481,.559,.652,.185,.444,.526,.342,.531,.041,15,.797,.139,.269,3,0
196,7,George Hill\hillge01,33,46,969,.538,14.7,.545,.314,.114,.055,.062,.455,.563,.747,.212,.313,.500,.508,.472,.031,9,.627,.235,.548,1,0
197,8,Pat Connaughton\connapa01,27,52,948,.452,14.9,.489,.385,.068,.014,.023,.511,.593,.706,.267,.000,.000,.319,.734,.113,24,.944,.106,.417,0,0
198,9,Ersan İlyasova\ilyaser01,32,51,823,.472,13.6,.582,.316,.170,.053,.043,.418,.543,.652,.333,.533,.583,.373,.787,.011,3,.977,.254,.300,0,0
199,10,Kyle Korver\korveky01,38,47,782,.418,23.1,.203,.042,.021,.038,.101,.797,.458,.400,.200,.556,.500,.407,.773,.000,0,.974,.249,.426,0,0
200,11,Robin Lopez\lopezro01,31,52,717,.502,11.7,.661,.253,.356,.043,.009,.339,.610,.695,.530,.700,1.000,.291,.585,.039,8,1.000,.481,.342,0,0
201,12,Sterling Brown\brownst02,24,39,565,.378,15.9,.486,.238,.135,.049,.065,.514,.433,.568,.320,.556,.083,.326,.487,.027,4,.903,.326,.452,0,0
202,13,D.J. Wilson\wilsodj01,23,28,243,.405,16.7,.452,.238,.107,.060,.048,.548,.605,.800,.333,.200,.750,.239,.870,.155,10,.909,.196,.667,0,0
203,14,Dragan Bender\bendedr01,22,7,91,.476,11.7,.571,.476,.095,.000,.000,.429,.500,.600,.000,,,.444,1.000,.143,3,1.000,.556,.600,0,0
204,15,Thanasis Antetokounmpo\antetth01,27,15,61,.565,5.4,.870,.783,.043,.043,.000,.130,.650,.667,.000,1.000,,.000,.615,.304,7,,.000,,0,0
205,16,Marvin Williams\willima02,33,3,48,.500,19.5,.300,.200,.000,.100,.000,.700,1.000,1.000,,1.000,,.286,.667,.000,0,1.000,.286,.000,0,0
206,17,Frank Mason\masonfr01,25,4,18,.143,18.4,.429,.286,.000,.000,.143,.571,.000,.000,,,.000,.250,,.000,0,1.000,.250,.000,0,0
207,1,Domantas Sabonis\sabondo01,23,54,1867,.536,7.3,.921,.506,.228,.049,.138,.079,.563,.682,.377,.389,.495,.224,.655,.061,43,1.000,.086,.200,0,0
208,2,T.J. Warren\warretj01,26,54,1743,.524,12.0,.786,.256,.181,.239,.109,.214,.567,.764,.435,.500,.470,.368,.625,.037,28,.933,.491,.388,0,0
209,3,Justin Holiday\holidju01,30,57,1447,.434,19.1,.330,.184,.051,.043,.053,.670,.460,.580,.211,.375,.350,.421,.807,.059,17,.972,.397,.430,3,0
210,4,Myles Turner\turnemy01,23,47,1367,.447,16.0,.546,.207,.145,.108,.085,.454,.540,.689,.524,.532,.216,.335,.742,.055,21,1.000,.168,.303,1,0
211,5,Malcolm Brogdon\brogdma01,27,43,1327,.430,13.9,.695,.328,.084,.099,.184,.305,.484,.526,.280,.559,.464,.308,.204,.010,6,.393,.077,.214,0,0
212,6,Jeremy Lamb\lambje01,27,46,1291,.451,15.1,.670,.194,.146,.146,.184,.330,.508,.624,.457,.543,.398,.335,.368,.010,5,.755,.165,.346,1,0
213,7,Doug McDermott\mcderdo01,28,57,1167,.488,17.1,.455,.255,.073,.037,.090,.545,.541,.664,.545,.294,.293,.444,.857,.022,7,1.000,.246,.426,0,0
214,8,Aaron Holiday\holidaa01,23,50,1149,.415,15.3,.589,.225,.163,.087,.114,.411,.420,.554,.342,.256,.392,.408,.270,.007,2,.813,.163,.433,0,0
215,9,T.J. McConnell\mccontj01,27,55,1039,.520,8.9,.959,.320,.238,.270,.132,.041,.529,.588,.618,.488,.310,.308,.241,.000,0,1.000,.462,.167,1,0
216,10,Goga Bitadze\bitadgo01,20,43,371,.482,12.6,.768,.277,.170,.161,.161,.232,.581,.774,.526,.333,.556,.154,.860,.098,11,1.000,.115,.333,1,0
217,11,Edmond Sumner\sumneed01,24,20,268,.438,11.0,.675,.375,.250,.050,.000,.325,.500,.733,.250,.000,,.308,.593,.050,4,1.000,.231,.667,0,0
218,12,JaKarr Sampson\sampsja02,26,19,256,.574,8.0,.803,.525,.148,.115,.016,.197,.673,.719,.667,.429,1.000,.167,.848,.180,11,1.000,.750,.111,0,0
219,13,Victor Oladipo\oladivi01,27,8,200,.333,17.2,.527,.247,.086,.097,.097,.473,.408,.435,.625,.000,.556,.250,.500,.022,2,.455,.114,.000,0,0
220,14,T.J. Leaf\leaftj01,22,23,185,.418,8.5,.791,.493,.224,.060,.015,.209,.434,.545,.333,.000,.000,.357,.609,.075,5,1.000,.286,.500,0,0
221,15,Alize Johnson\johnsal02,23,12,50,.467,4.3,1.000,.533,.333,.133,.000,.000,.467,.750,.200,.000,,,.571,.000,0,,,,0,0
222,16,Naz Mitrou-Long\mitrona01,26,3,43,.375,21.6,.313,.063,.063,.188,.000,.688,.800,1.000,.000,1.000,,.182,.250,.000,0,1.000,.182,.500,1,0
223,17,Brian Bowen\bowenbr02,21,3,10,.250,11.8,.750,.250,.250,.250,.000,.250,.333,.000,1.000,.000,,.000,1.000,.000,0,,1.000,.000,0,0
224,1,Zach LaVine\lavinza01,24,58,2009,.448,14.4,.594,.370,.085,.048,.090,.406,.493,.622,.186,.218,.398,.382,.402,.076,83,.554,.168,.500,2,0
225,2,Tomáš Satoranský\satorto01,28,58,1671,.441,13.2,.627,.282,.206,.096,.043,.373,.502,.594,.436,.468,.286,.339,.338,.033,14,.903,.284,.385,0,0
226,3,Coby White\whiteco01,19,58,1435,.380,16.2,.515,.259,.104,.054,.098,.485,.411,.515,.309,.400,.250,.347,.283,.012,4,.782,.142,.333,1,0
227,4,Lauri Markkanen\markkla01,22,46,1395,.424,16.3,.465,.273,.145,.027,.020,.535,.516,.653,.338,.267,.273,.344,.538,.098,44,.990,.143,.381,1,0
228,5,Thaddeus Young\youngth01,31,57,1393,.449,11.9,.636,.331,.254,.019,.032,.364,.497,.594,.418,.100,.353,.365,.587,.049,23,.929,.443,.353,2,0
229,6,Kris Dunn\dunnkr01,25,51,1269,.444,11.8,.673,.395,.184,.056,.038,.327,.535,.644,.444,.263,.231,.259,.423,.023,8,.966,.259,.276,1,0
230,7,Wendell Carter\cartewe01,20,37,1109,.537,5.9,.909,.579,.207,.084,.039,.091,.569,.704,.281,.500,.250,.214,.669,.256,71,1.000,.429,.167,0,0
231,8,Ryan Arcidiacono\arcidry01,25,54,849,.396,18.8,.356,.149,.099,.089,.020,.644,.417,.567,.250,.333,.500,.385,.533,.000,0,.880,.300,.462,0,0
232,9,Luke Kornet\kornelu01,24,36,559,.439,17.5,.422,.283,.102,.021,.016,.578,.646,.755,.474,.500,.000,.287,.863,.134,23,1.000,.213,.174,0,0
233,10,Chandler Hutchison\hutchch01,23,28,527,.457,8.4,.783,.509,.229,.040,.006,.217,.496,.607,.300,.286,.000,.316,.618,.137,20,1.000,.553,.381,0,0
234,11,Daniel Gafford\gaffoda01,21,36,483,.685,4.7,1.000,.793,.162,.009,.036,.000,.685,.750,.389,.000,.750,,.671,.441,43,,,,0,0
235,12,Denzel Valentine\valende01,26,30,366,.402,20.1,.384,.049,.134,.122,.079,.616,.476,.500,.273,.600,.615,.356,.433,.000,0,.778,.158,.438,1,0
236,13,Cristiano Felício\feliccr01,27,18,337,.638,3.5,.957,.681,.213,.043,.021,.043,.667,.750,.500,.500,.000,.000,.500,.149,6,,.000,,0,0
237,14,Shaquille Harrison\harrish01,26,36,305,.446,8.6,.768,.536,.161,.054,.018,.232,.500,.567,.278,.667,.000,.269,.558,.036,4,.714,.308,.125,1,0
238,15,Otto Porter\porteot01,26,9,226,.417,15.9,.524,.202,.155,.095,.071,.476,.432,.412,.692,.125,.333,.400,.211,.012,1,.875,.250,.500,0,0
239,16,Adam Mokoka\mokokad01,21,8,57,.368,12.8,.526,.474,.000,.000,.053,.474,.400,.444,,,.000,.333,.500,.000,0,1.000,.556,.400,0,0
240,17,Max Strus\strusma01,23,2,6,.667,9.0,.667,.667,.000,.000,.000,.333,1.000,1.000,,,,.000,.500,.000,0,,.000,,0,0
241,1,Andre Drummond\drumman01,26,49,1654,.530,4.2,.969,.580,.355,.028,.006,.031,.546,.665,.390,.158,.000,.048,.568,.135,81,1.000,.143,.000,2,0
242,2,Bruce Brown\brownbr01,23,56,1572,.443,9.0,.785,.386,.347,.037,.014,.215,.472,.600,.358,.250,.333,.337,.373,.056,20,1.000,.609,.411,0,0
243,3,Langston Galloway\gallola01,28,59,1528,.435,18.9,.382,.103,.134,.078,.067,.618,.495,.653,.422,.459,.438,.398,.733,.002,1,1.000,.395,.552,1,0
244,4,Tony Snell\snellto01,28,52,1420,.452,20.1,.327,.092,.116,.068,.051,.673,.536,.710,.513,.348,.529,.412,.627,.027,9,.903,.376,.435,1,0
245,5,Derrick Rose\rosede01,31,47,1231,.486,11.7,.801,.290,.259,.141,.111,.199,.533,.665,.451,.470,.456,.298,.172,.003,2,.643,.113,.438,1,0
246,6,Sviatoslav Mykhailiuk\mykhasv01,22,49,1081,.428,20.0,.295,.172,.093,.015,.015,.705,.459,.614,.194,.400,.400,.415,.489,.027,8,.948,.226,.472,2,1
247,7,Christian Wood\woodch01,24,55,1071,.562,11.4,.712,.407,.219,.033,.053,.288,.636,.800,.419,.308,.476,.381,.702,.247,89,.907,.283,.375,0,0
248,8,Markieff Morris\morrima02,30,44,988,.450,16.7,.514,.193,.152,.129,.041,.486,.500,.680,.458,.320,.375,.397,.630,.041,15,1.000,.286,.426,3,0
249,9,Luke Kennard\kennalu01,23,28,922,.442,18.2,.465,.126,.117,.111,.111,.535,.491,.721,.425,.342,.447,.399,.474,.003,1,.808,.186,.353,0,0
250,10,Thon Maker\makerth01,22,54,696,.506,14.3,.655,.310,.208,.065,.071,.345,.591,.712,.429,.455,.667,.345,.738,.161,24,1.000,.466,.370,0,0
251,11,Sekou Doumbouya\doumbse01,19,31,629,.395,14.5,.570,.310,.195,.025,.040,.430,.465,.532,.410,.200,.375,.302,.736,.080,14,.923,.349,.267,0,0
252,12,Blake Griffin\griffbl01,30,18,512,.352,13.8,.556,.276,.212,.036,.032,.444,.439,.565,.358,.222,.125,.243,.393,.020,5,.593,.216,.167,0,0
253,13,Reggie Jackson\jacksre01,29,14,381,.384,15.3,.586,.162,.237,.126,.061,.414,.388,.531,.362,.320,.250,.378,.111,.010,2,.548,.122,.400,0,0
254,14,Tim Frazier\fraziti01,29,27,355,.362,15.2,.681,.149,.213,.106,.213,.319,.375,.571,.350,.300,.300,.333,.292,.000,0,.700,.167,.600,0,0
255,15,John Henson\hensojo01,29,5,78,.714,4.5,.952,.524,.429,.000,.000,.048,.750,.909,.556,,,.000,.667,.048,1,,1.000,.000,0,0
256,16,Louis King\kinglo02,20,10,62,.381,16.4,.476,.143,.190,.143,.000,.524,.400,.333,.750,.000,,.364,.000,.048,1,1.000,.364,.750,0,0
257,17,Jordan Bone\bonejo01,22,10,53,.250,17.8,.500,.050,.150,.250,.050,.500,.300,1.000,.000,.400,.000,.200,.667,.000,0,.500,.000,,0,0
258,18,Brandon Knight\knighbr03,28,3,45,.333,25.3,.067,.000,.000,.067,.000,.933,1.000,,,1.000,,.286,.000,.000,0,1.000,.000,,0,0
259,19,Khyri Thomas\thomakh01,23,2,6,,,,,,,,,,,,,,,,,0,,,,0,0
260,1,Collin Sexton\sextoco01,21,56,1805,.458,11.0,.772,.327,.224,.155,.066,.228,.485,.596,.382,.434,.410,.367,.254,.018,15,.766,.114,.625,0,0
261,2,Darius Garland\garlada01,20,55,1685,.399,16.3,.564,.173,.150,.151,.090,.436,.433,.446,.443,.429,.397,.355,.266,.000,0,.730,.181,.392,0,0
262,3,Cedi Osman\osmande01,24,56,1628,.445,16.1,.468,.251,.133,.060,.023,.532,.512,.631,.377,.419,.250,.385,.540,.004,2,.896,.215,.390,2,0
263,4,Tristan Thompson\thomptr01,28,52,1583,.518,5.0,.969,.500,.375,.076,.018,.031,.518,.621,.438,.333,.111,.500,.603,.184,86,.625,.063,.000,0,0
264,5,Kevin Love\loveke01,31,47,1461,.456,18.1,.477,.132,.122,.117,.107,.523,.538,.675,.365,.606,.492,.381,.571,.008,3,.926,.138,.477,0,0
265,6,Larry Nance\nancela02,27,47,1182,.524,13.1,.608,.375,.104,.069,.061,.392,.645,.754,.444,.417,.571,.338,.596,.179,56,.978,.265,.417,2,0
266,7,Kevin Porter\porteke02,19,44,979,.451,13.9,.640,.286,.129,.111,.114,.360,.513,.750,.378,.256,.325,.341,.417,.091,31,.791,.206,.462,1,0
267,8,Jordan Clarkson\clarkjo01,27,29,666,.442,15.4,.512,.233,.172,.080,.028,.488,.509,.658,.429,.269,.444,.371,.294,.015,5,.780,.164,.423,0,0
268,9,Matthew Dellavedova\dellama01,29,48,581,.323,17.0,.469,.100,.262,.100,.008,.531,.508,.538,.441,.615,1.000,.159,.258,.000,0,.818,.130,.222,0,0
269,10,Alfonzo McKinnie\mckinal01,27,37,531,.414,12.5,.612,.342,.191,.046,.033,.388,.548,.692,.379,.571,.000,.203,.667,.053,6,1.000,.407,.250,0,0
270,11,John Henson\hensojo01,29,29,412,.508,9.5,.742,.433,.283,.008,.017,.258,.618,.769,.412,1.000,.000,.194,.800,.183,21,1.000,.258,.250,1,0
271,12,Dante Exum\exumda01,24,23,396,.484,11.8,.621,.411,.211,.000,.000,.379,.559,.667,.350,,,.361,.273,.053,5,.769,.278,.200,1,0
272,13,Brandon Knight\knighbr03,28,16,241,.326,21.5,.256,.070,.070,.105,.012,.744,.409,.500,.167,.556,.000,.297,.111,.000,0,.579,.156,.300,0,0
273,14,Ante Žižić\zizican01,23,17,168,.596,3.9,1.000,.519,.365,.096,.019,.000,.596,.667,.526,.600,.000,,.742,.038,1,,,,0,0
274,15,Andre Drummond\drumman01,26,4,98,.537,5.2,.878,.561,.317,.000,.000,.122,.556,.609,.462,,,.400,.600,.122,5,.500,.400,.500,0,0
275,16,Dean Wade\wadede01,23,10,54,.700,8.4,.700,.600,.100,.000,.000,.300,.714,.667,1.000,,,.667,.800,.300,3,1.000,.667,.500,0,0
276,17,Tyler Cook\cookty01,22,11,35,.700,2.9,1.000,.800,.100,.100,.000,.000,.700,.625,1.000,1.000,,,.571,.400,1,,,,0,0
277,18,Matt Mooney\moonema01,22,2,5,.500,18.0,.500,.000,.000,.500,.000,.500,1.000,,,1.000,,.000,1.000,.000,0,,.000,,0,0
278,19,Malik Newman\newmama01,22,1,4,.000,22.0,.500,.000,.000,.000,.500,.500,.000,,,,.000,.000,,.000,0,,.000,,0,0
279,20,Marques Bolden\boldema01,21,1,3,,,,,,,,,,,,,,,,,0,,,,0,0
280,21,J.P. Macura\macurjp01,24,1,1,,,,,,,,,,,,,,,,,0,,,,0,0
281,1,LeBron James\jamesle01,35,53,1850,.490,12.8,.681,.362,.142,.074,.103,.319,.558,.717,.415,.342,.355,.345,.257,.066,66,.482,.058,.421,1,0
282,2,Anthony Davis\davisan02,26,48,1665,.514,10.9,.811,.351,.175,.157,.128,.189,.558,.766,.434,.412,.333,.329,.594,.167,133,1.000,.171,.429,2,0
283,3,Kentavious Caldwell-Pope\caldwke01,26,55,1396,.468,16.2,.520,.233,.078,.098,.113,.480,.524,.645,.516,.359,.422,.406,.734,.033,11,.923,.370,.437,1,0
284,4,Danny Green\greenda02,32,54,1347,.419,19.5,.299,.135,.076,.042,.047,.701,.522,.673,.483,.500,.167,.375,.667,.013,4,.970,.394,.415,0,0
285,5,Kyle Kuzma\kuzmaky01,24,46,1137,.434,15.3,.590,.187,.233,.077,.093,.410,.512,.772,.400,.421,.348,.322,.604,.032,14,.923,.208,.595,2,0
286,6,Dwight Howard\howardw01,34,55,1080,.734,2.6,.979,.793,.177,.000,.008,.021,.737,.824,.357,,.500,.600,.620,.451,102,1.000,.200,.000,0,0
