,Rank,Name,Age,games,min_played,FG%,Avg_shot_dist,%_2point_attempts,%_FGA_0-3_dist,%_FGA_3-10_dist,%_FGA_10-16_dist,%_FGA_16-3pt_dist,%_3point_attempts,%FG_2point,%_FG_0-3_dist,%_FG_3-10_dist,%_FG_10-16_dist,%_FG_10-16_dist,3pt%,assisted_2pters,FG%_dunk_attempts,made_dunks,assisted_3pt%,%_corner_3pters,%_corner_3_made,3-Pt Field Goals.3,3-Pt Field Goals.4
0,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
1,Rk,,Age,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P%,0-3,3-10,10-16,16-3pt,3P%,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
32,13,Robert Williams\williro04,22,19,269,.673,2.9,1.000,.755,.184,.000,.061,.000,.673,.757,.444,,.333,,.758,.429,18,,,,0,0
33,14,Romeo Langford\langfro01,20,20,219,.447,12.8,.617,.255,.319,.043,.000,.383,.552,.750,.400,.500,,.278,.500,.021,1,1.000,.389,.429,1,0
34,15,Vincent Poirier\poirivi01,26,19,111,.484,7.7,.935,.484,.194,.129,.129,.065,.483,.533,.500,.000,.750,.500,.786,.194,6,1.000,.000,,0,0
35,16,Tremont Waters\watertr01,22,9,73,.357,17.1,.464,.179,.179,.071,.036,.536,.615,1.000,.400,.000,1.000,.133,.125,.000,0,.000,.133,.000,0,0
36,17,Tacko Fall\fallta01,24,6,24,.750,2.9,1.000,.583,.417,.000,.000,.000,.750,.857,.600,,,,.889,.417,5,,,,0,0
37,1,Tobias Harris\harrito02,27,57,1962,.471,13.4,.692,.217,.212,.163,.100,.308,.523,.665,.505,.459,.356,.355,.488,.048,37,.898,.181,.440,0,0
38,2,Ben Simmons\simmobe01,23,54,1930,.585,3.8,.990,.640,.301,.039,.010,.010,.588,.719,.371,.167,.333,.333,.507,.169,98,1.000,.333,1.000,2,0
39,3,Al Horford\horfoal01,33,52,1586,.436,16.1,.597,.164,.177,.122,.134,.403,.515,.763,.400,.449,.421,.320,.592,.030,15,.986,.118,.222,0,0
40,4,Josh Richardson\richajo01,26,43,1329,.432,16.3,.621,.173,.130,.152,.166,.379,.494,.604,.412,.350,.575,.332,.404,.019,10,.803,.121,.333,0,0
41,5,Joel Embiid\embiijo01,25,41,1258,.462,13.0,.765,.242,.186,.194,.142,.235,.499,.700,.472,.375,.362,.342,.476,.056,34,.925,.039,.333,2,0
42,6,Furkan Korkmaz\korkmfu01,22,56,1194,.438,19.4,.389,.123,.123,.085,.058,.611,.506,.691,.400,.447,.423,.396,.693,.022,10,.991,.190,.481,1,0
43,7,Matisse Thybulle\thybuma01,22,49,981,.402,17.8,.357,.221,.075,.035,.025,.643,.465,.591,.333,.286,.000,.367,.758,.111,19,1.000,.320,.488,1,0
44,8,Mike Scott\scottmi01,31,56,959,.396,19.0,.345,.169,.072,.065,.040,.655,.500,.574,.500,.389,.364,.341,.646,.014,2,1.000,.236,.233,2,0
45,9,James Ennis\ennisja01,29,49,776,.442,14.5,.531,.381,.093,.022,.035,.469,.525,.651,.190,.000,.375,.349,.698,.093,17,1.000,.415,.432,1,0
46,10,Raul Neto\netora01,27,46,515,.430,14.7,.589,.285,.165,.089,.051,.411,.473,.622,.346,.214,.500,.369,.364,.000,0,.875,.108,.571,2,0
47,11,Shake Milton\miltosh01,23,24,364,.440,15.8,.480,.240,.144,.080,.016,.520,.517,.733,.389,.200,.000,.369,.581,.000,0,.917,.292,.368,0,0
48,12,Trey Burke\burketr01,27,25,329,.465,14.4,.701,.252,.118,.134,.197,.299,.483,.688,.200,.588,.320,.421,.395,.000,0,.938,.132,.800,1,0
49,13,Kyle O'Quinn\oquinky01,29,22,221,.500,12.7,.672,.406,.063,.078,.125,.328,.581,.654,.500,.200,.625,.333,.640,.063,4,.857,.143,.000,0,0
50,14,Norvel Pelle\pelleno01,26,17,170,.545,2.1,1.000,.848,.121,.030,.000,.000,.545,.607,.250,.000,,,.611,.273,8,,,,0,0
51,15,Alec Burks\burksal01,28,3,65,.357,17.1,.607,.143,.107,.179,.179,.393,.412,1.000,.000,.400,.200,.273,.286,.036,1,1.000,.182,.500,0,0
